audit_id,cardnumber,cardname,previous_classification,primary_family,secondary_families,trigger,generic_matcher_candidate,resolver_candidate,ui_candidate,representative_candidate,risk,notes
PL!SP-bp2-001#A02,PL!SP-bp2-001,澁谷かのん,NOT_IMPLEMENTED_WITH_EVIDENCE,手札を捨てる,控え室から回収;名前・グループ・ユニット条件;ライブ終了時cleanup;登場時効果,登場,disable_stage_group_live_start_then_retrieve,disable_stage_group_live_start_then_retrieve,pending/UI route expected,NO,HIGH,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!SP-bp2-004#A01,PL!SP-bp2-004,平安名すみれ,NOT_IMPLEMENTED_WITH_EVIDENCE,常時効果,,BODY,,,,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!SP-bp2-006#A03,PL!SP-bp2-006,桜小路きな子,NOT_IMPLEMENTED_WITH_EVIDENCE,手札を捨てる,控え室から回収;名前・グループ・ユニット条件;登場時効果,登場,retrieve_baton_old_group_member_to_hand,retrieve_baton_old_group_member_to_hand,pending/UI route expected,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!SP-bp2-006#A04,PL!SP-bp2-006,桜小路きな子,NOT_IMPLEMENTED_WITH_EVIDENCE,手札を捨てる,控え室から回収;名前・グループ・ユニット条件;登場時効果,登場,retrieve_baton_old_group_member_to_hand,retrieve_baton_old_group_member_to_hand,pending/UI route expected,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!SP-bp2-008#A01,PL!SP-bp2-008,若菜四季,STATIC_ANALYSIS_INCONCLUSIVE,常時効果,,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!SP-bp2-010#A01,PL!SP-bp2-010,ウィーン・マルガレーテ,STATIC_ANALYSIS_INCONCLUSIVE,常時効果,,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!SP-bp4-003#A02,PL!SP-bp4-003,嵐千砂都,STATIC_ANALYSIS_INCONCLUSIVE,ブレード付与,常時効果,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!SP-bp4-004#A01,PL!SP-bp4-004,平安名すみれ,NOT_IMPLEMENTED_WITH_EVIDENCE,常時効果,,BODY,,,,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!SP-bp4-009#A01,PL!SP-bp4-009,鬼塚夏美,STATIC_ANALYSIS_INCONCLUSIVE,ブレード付与,常時効果,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!SP-bp4-016#A01,PL!SP-bp4-016,葉月恋,STATIC_ANALYSIS_INCONCLUSIVE,エネルギー,ライブ終了時cleanup;常時効果,BODY,,,,NO,HIGH,Search evidence is insufficient to confirm either implementation or absence.
PL!SP-bp4-021#A01,PL!SP-bp4-021,ウィーン・マルガレーテ,NOT_IMPLEMENTED_WITH_EVIDENCE,エネルギー,常時効果,BODY,,,,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!SP-bp5-003#A01,PL!SP-bp5-003,嵐千砂都,NOT_IMPLEMENTED_WITH_EVIDENCE,名前・グループ・ユニット条件,常時効果,BODY,,,,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!SP-bp5-005#A01,PL!SP-bp5-005,葉月恋,NOT_IMPLEMENTED_WITH_EVIDENCE,ブレード付与,名前・グループ・ユニット条件;ライブ終了時cleanup;常時効果,BODY,,,,NO,HIGH,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!SP-bp5-005#A02,PL!SP-bp5-005,葉月恋,NOT_IMPLEMENTED_WITH_EVIDENCE,手札を捨てる,控え室から回収;常時効果,BODY,,,,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!SP-bp5-011#A01,PL!SP-bp5-011,鬼塚冬毬,IMPLEMENTED_ROUTE_UNVERIFIED,常時効果,,BODY,,,,NO,MEDIUM,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability."
PL!SP-bp5-011#A02,PL!SP-bp5-011,鬼塚冬毬,IMPLEMENTED_ROUTE_UNVERIFIED,常時効果,,BODY,,,,NO,MEDIUM,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability."
PL!SP-bp5-011#A03,PL!SP-bp5-011,鬼塚冬毬,IMPLEMENTED_ROUTE_UNVERIFIED,常時効果,,BODY,,,,NO,MEDIUM,"Some route/op evidence exists, but this static pass does not prove end-to-end reachability."
PL!SP-bp5-012#A01,PL!SP-bp5-012,澁谷かのん,NOT_IMPLEMENTED_WITH_EVIDENCE,名前・グループ・ユニット条件,常時効果,BODY,,,,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!SP-bp7-005#A01,PL!SP-bp7-005,葉月恋,STATIC_ANALYSIS_INCONCLUSIVE,エネルギー,メンバーをアクティブ;メンバーをウェイト;常時効果,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!SP-bp7-005#A02,PL!SP-bp7-005,葉月恋,STATIC_ANALYSIS_INCONCLUSIVE,エネルギー,ブレード付与;ライブ終了時cleanup;常時効果,BODY,,,,NO,HIGH,Search evidence is insufficient to confirm either implementation or absence.
PL!SP-bp7-025#A01,PL!SP-bp7-025,Memories,STATIC_ANALYSIS_INCONCLUSIVE,ブレード付与,ライブ終了時cleanup;ライブ開始時効果,ライブ開始時,,,,NO,HIGH,Search evidence is insufficient to confirm either implementation or absence.
PL!SP-pb2-000#A01,PL!SP-pb2-000,嵐千砂都＆鬼塚夏美,NOT_IMPLEMENTED_WITH_EVIDENCE,常時効果,,BODY,,,,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!SP-pb2-005#A02,PL!SP-pb2-005,葉月恋,NOT_IMPLEMENTED_WITH_EVIDENCE,名前・グループ・ユニット条件,常時効果,BODY,,,,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!SP-pb2-005#A03,PL!SP-pb2-005,葉月恋,NOT_IMPLEMENTED_WITH_EVIDENCE,名前・グループ・ユニット条件,登場時効果,登場,put_baton_old_group_member_under_self,put_baton_old_group_member_under_self,pending/UI route expected,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!SP-pb2-006#A01,PL!SP-pb2-006,桜小路きな子,NOT_IMPLEMENTED_WITH_EVIDENCE,名前・グループ・ユニット条件,常時効果,BODY,,,,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!SP-pb2-006#A02,PL!SP-pb2-006,桜小路きな子,STATIC_ANALYSIS_INCONCLUSIVE,名前・グループ・ユニット条件,常時効果,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!SP-pb2-022#A01,PL!SP-pb2-022,鬼塚冬毬,STATIC_ANALYSIS_INCONCLUSIVE,ブレード付与,名前・グループ・ユニット条件;ライブ終了時cleanup;常時効果,BODY,,,,NO,HIGH,Search evidence is insufficient to confirm either implementation or absence.
PL!SP-pb2-035#A01,PL!SP-pb2-035,唐可可,STATIC_ANALYSIS_INCONCLUSIVE,ブレード付与,常時効果,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!SP-pb2-041#A01,PL!SP-pb2-041,若菜四季,STATIC_ANALYSIS_INCONCLUSIVE,ブレード付与,常時効果,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!SP-pb2-046#A01,PL!SP-pb2-046,Butterfly Wing,STATIC_ANALYSIS_INCONCLUSIVE,常時効果,,BODY,,,,NO,MEDIUM,Search evidence is insufficient to confirm either implementation or absence.
PL!SP-pb2-046#A03,PL!SP-pb2-046,Butterfly Wing,NOT_IMPLEMENTED_WITH_EVIDENCE,常時効果,,BODY,,,,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!SP-pb2-046#A04,PL!SP-pb2-046,Butterfly Wing,NOT_IMPLEMENTED_WITH_EVIDENCE,常時効果,,BODY,,,,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
PL!SP-sd2-004#A01,PL!SP-sd2-004,平安名すみれ,NOT_IMPLEMENTED_WITH_EVIDENCE,ブレード付与,常時効果,BODY,,,,NO,MEDIUM,"No card-specific route, no compiled op, and feature-term searches found no matching generic route in inspected runtime files."
