cardnumber,cardname,ability_type,trigger,status,rule_id,cost_template,effect_template
PL!S-bp2-005,渡辺曜,自動,登場,implemented_existing_topk_or_deck,look_top_k_optional_member_heart_any_color_upto_n,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを7枚見る。その中から<赤>か<緑>か<青>を持つメンバーカードを3枚まで公開して手札に加えてもよい。残りを控え室に置く。
PL!S-bp2-007,国木田花丸,自動,ライブ開始時,implemented_existing_topk_or_deck,enter_ginko_bp2016_reorder_top2,手札のライブカードを1枚公開し、デッキの一番下に置いてもよい,自分のデッキの上からカードを2枚見る。その中から好きな枚数を好きな順番でデッキの上に置き、残りを控え室に置く。
PL!S-bp3-004,黒澤ダイヤ,自動,登場,implemented_existing_topk_or_deck,look_top_k_optional_type,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを4枚見る。その中からメンバーカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!S-bp3-009,黒澤ルビィ,自動,登場,implemented_existing_topk_or_deck,look_top_k_optional_group_type,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを6枚見る。その中から『Aqours』のメンバーカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!S-bp5-006,津島善子,自動,登場,implemented_existing_topk_or_deck,look_top_k_optional_cost_ge_group_member,このメンバーをウェイトにし、手札を1枚控え室に置いてもよい,自分のデッキの上からカードを5枚見る。その中からコスト9以上の『Aqours』のメンバーカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!S-bp5-007,国木田花丸,自動,ライブ成功時,implemented_member_heart_color_min,look_top_k_optional_member_heart_color_min,,自分のデッキの上からカードを4枚見る。その中からハートに<緑>を2つ以上持つメンバーカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!S-bp5-015,津島善子,自動,登場,implemented_existing_topk_or_deck,body_mill10,,自分のデッキの上からカードを10枚控え室に置く。
PL!S-bp6-002,桜内梨子,自動,BODY,implemented_live_storage_cleanup_top_or_bottom,live_storage_cleanup_top_or_bottom,,『Aqours』のライブカードが自分のライブカード置き場から控え室に置かれたとき、そのライブカードをデッキの一番上か一番下に置いてもよい。
PL!S-bp6-004,黒澤ダイヤ,自動,ライブ開始時,implemented_live_storage_no_live_start_topdeck_gain_icons,live_storage_count_choose_group_live_no_live_start_topdeck_gain_icons,,自分のライブカード置き場にカードが2枚以上ある場合、その中から<ライブ開始時>能力を持たない『Aqours』のライブカードを1枚選び、デッキの一番上に置いてもよい。そうした場合、ライブ終了時まで、<赤>と<緑>を得る。
PL!S-bp6-005,渡辺曜,自動,登場,implemented_existing_topk_or_deck,look_top_k_optional_member_heart_all_colors,,自分のデッキの上からカードを2枚見る。その中から<赤>と<緑>と<青>をすべて持つメンバーカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!S-bp6-012,松浦果南,自動,登場,implemented_existing_topk_or_deck,mill_top_k_to_waiting,,自分のデッキの上からカードを5枚控え室に置く。
PL!S-bp6-017,小原鞠莉,自動,登場,implemented_existing_topk_or_deck,mill_top_k_to_waiting,,自分のデッキの上からカードを5枚控え室に置く。
PL!S-bp6-018,黒澤ルビィ,自動,登場,implemented_existing_topk_or_deck,enter_ginko_bp2016_reorder_top2,このメンバーをウェイトにしてもよい,自分のデッキの上からカードを2枚見る。その中から好きな枚数を好きな順番でデッキの上に置き、残りを控え室に置く。
PL!S-bp6-019,Step! ZERO to ONE,自動,ライブ開始時,implemented_existing_topk_or_deck,score_draw_then_hand_top_or_bottom_if_all_stage_group,,自分のステージにいるメンバーがすべて『Aqours』の場合、このカードのスコアを+1し、カードを1枚引き、手札からカードを1枚デッキの一番上か一番下に置く。
PL!S-pb1-008,小原鞠莉,自動,ライブ開始時,implemented_existing_topk_or_deck,choose_self_or_opponent_topk_reorder_keep_any,,自分か相手を選ぶ。自分は、そのプレイヤーのデッキの上からカードを2枚見る。その中から好きな枚数を好きな順番でデッキの上に置き、残りを控え室に置く。
PL!S-pb1-013,黒澤ダイヤ,自動,登場,implemented_member_or_live_heart_filter,look_top_k_optional_member_heart_or_live_required,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを4枚見る。その中からハートに<緑>を2個以上持つメンバーカードか、必要ハートに<緑>を2以上含むライブカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!S-pb1-014,渡辺曜,自動,登場,implemented_member_or_live_heart_filter,look_top_k_optional_member_heart_or_live_required,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを4枚見る。その中からハートに<赤>を2個以上持つメンバーカードか、必要ハートに<赤>を2以上含むライブカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!S-pb1-015,津島善子,自動,登場,implemented_member_or_live_heart_filter,look_top_k_optional_member_heart_or_live_required,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを4枚見る。その中からハートに<青>を2個以上持つメンバーカードか、必要ハートに<青>を2以上含むライブカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!S-sd1-003,松浦果南,自動,登場,implemented_existing_topk_or_deck,look_top_k_optional_group_type,,自分のデッキの上からカードを5枚見る。その中から『Aqours』のライブカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!S-sd1-009,黒澤ルビィ,自動,ライブ開始時,implemented_live_start_hand_group_top_bottom_blade,live_start_hand_group_to_deck_top_or_bottom_blade,手札の『Aqours』のカードを1枚公開してもよい,これにより公開したカードをデッキの一番上か一番下に置き、ライブ終了時まで、<(ブレード)>を得る。
PL!S-sd1-013,黒澤ダイヤ,自動,登場,implemented_existing_topk_or_deck,mill_top_k_to_waiting,,自分のデッキの上からカードを5枚控え室に置く。
PL!SP-bp1-005,葉月恋,自動,登場,implemented_existing_topk_or_deck,enter_ren_bp1005_top5_liella_card_optional,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを5枚見る。その中から『Liella!』のカードを1枚まで公開して手札に加えてもよい。残りを控え室に置く。
PL!SP-bp1-010,ウィーン・マルガレーテ,起動,BODY,implemented_existing_topk_or_deck,look_top_k_optional_group,<(E)><(E)>手札を1枚控え室に置く,自分のデッキの上からカードを5枚見る。その中から『Liella!』のカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!SP-bp1-012,澁谷かのん,自動,登場,implemented_existing_topk_or_deck,look_top3_choose_one_to_hand_rest_green,<(E)>支払ってもよい,自分のデッキの上からカードを3枚見る。その中から1枚を手札に加え、残りを控え室に置く。
PL!SP-bp2-002,唐可可,自動,登場,implemented_cost_ge_any,look_top_k_optional_cost_ge_any,,自分のデッキの上からカードを3枚見る。その中からコスト11以上のカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!SP-bp2-005,葉月恋,自動,登場,implemented_existing_topk_or_deck,look_top_k_optional_group,<(E)><(E)>支払ってもよい,自分のデッキの上からカードを7枚見る。その中から『Liella!』のカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!SP-bp2-007,米女メイ,自動,登場,implemented_existing_topk_or_deck,look_top_k_optional_group_type,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを5枚見る。その中から『Liella!』のメンバーカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!SP-bp2-013,唐可可,自動,登場,implemented_existing_topk_or_deck,topdeck_green_any_upto1,,自分の控え室からカードを1枚までデッキの一番上に置く。
PL!SP-bp2-014,嵐千砂都,自動,登場,implemented_existing_topk_or_deck,topdeck_green_any_upto1,,自分の控え室からカードを1枚までデッキの一番上に置く。
PL!SP-bp2-018,米女メイ,自動,登場,implemented_existing_topk_or_deck,topdeck_green_any_upto1,,自分の控え室からカードを1枚までデッキの一番上に置く。
PL!SP-bp4-002,唐可可,自動,登場,implemented_group_live_required_total_ge,look_top_k_optional_group_live_required_total_ge,このメンバーをウェイトにしてもよい,自分のデッキの上からカードを4枚見る。その中から必要ハートの合計が8以上の『Liella!』のライブカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!SP-bp5-007,米女メイ,自動,登場,implemented_existing_topk_or_deck,look_top_k_optional_distinct_group_upto_n,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを5枚見る。その中から各グループ名につき1枚ずつ公開し、3枚まで手札に加えてもよい。残りを控え室に置く。
PL!SP-bp5-008,若菜四季,自動,登場,implemented_existing_topk_or_deck,look_top_k_optional_cost_ge_group_member,このメンバーをウェイトにし、手札を1枚控え室に置いてもよい,自分のデッキの上からカードを5枚見る。その中からコスト9以上の『虹ヶ咲』のメンバーカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!SP-bp5-009,鬼塚夏美,自動,ライブ開始時,implemented_optional_repeat_mill_blade_wait,optional_repeat_mill_top1_gain_blade_wait_if_live,,自分のデッキの一番上のカードを控え室に置いてもよい。そうした場合、ライブ終了時まで、<(ブレード)>を得る。これにより控え室に置いたカードがライブカードの場合、このメンバーをウェイトにする。自分はこの手順をさらに4回まで繰り返してもよい。
PL!SP-bp5-013,唐可可,自動,登場,implemented_existing_topk_or_deck,look_top_k_optional_group_member_or_bladeheart_group_member,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを5枚見る。その中から『Sunny Passion』のメンバーカードかブレードハートを持つ『Liella!』のメンバーカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!SP-pb1-015,平安名すみれ,自動,登場,implemented_existing_topk_or_deck,look_top_k_optional_group,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを5枚見る。その中から『CatChu!』のカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!SP-pb1-016,葉月恋,自動,登場,implemented_existing_topk_or_deck,look_top_k_optional_group,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを5枚見る。その中から『KALEIDOSCORE』のカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
PL!SP-pb1-017,桜小路きな子,自動,登場,implemented_existing_topk_or_deck,look_top_k_optional_group,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを5枚見る。その中から『5yncri5e!』のカードを1枚公開して手札に加えてもよい。残りを控え室に置く
PL!SP-pb2-001,澁谷かのん,自動,登場,implemented_existing_topk_or_deck,look_top_k_optional_cost_le_group_member_stage_or_hand,手札を1枚控え室に置いてもよい,自分のデッキの上からカードを5枚見る。その中からコスト4以下の『Liella!』のメンバーカードを1枚まで公開する。そのカードを自分のステージのメンバーのいないエリアに登場させるか、手札に加える。残りを控え室に置く。
PL!SP-sd1-008,若菜四季,自動,登場,implemented_existing_topk_or_deck,look_top3_choose_one_to_hand_rest_green,<(E)>支払ってもよい,自分のデッキの上からカードを3枚見る。その中から1枚を手札に加え、残りを控え室に置く。
PL!SP-sd1-009,鬼塚夏美,自動,登場,implemented_energy_conditional_topk_choose,look_top_k_choose_if_energy_gte,<(E)>支払ってもよい,自分のエネルギーが9枚以上ある場合、自分のデッキの上からカードを5枚見る。その中から1枚を手札に加え、残りを控え室に置く。
PL!SP-sd1-017,桜小路きな子,自動,登場,implemented_existing_topk_or_deck,look_top3_choose_one_to_hand_rest_green,(E)支払ってもよい,自分のデッキの上からカードを3枚見る。その中から1枚を手札に加え、残りを控え室に置く。
