cardnumber,cardname,card_type,field,raw,raw_parsed,stored_counts,runtime_counts,stored_blank,runtime_blank_after_patch
PL!HS-bp2-020,Link to the FUTURE,LIVE,blade_heart_tags,<ALL>,"[""(ALL)""]",[],"[""(ALL)""]",1,0
PL!HS-bp2-021,眩耀夜行,LIVE,required,<緑> 7 <任意> 5 (合計12),"{""any"": 5, ""green"": 7}",{},"{""any"": 5, ""green"": 7}",1,0
PL!HS-bp2-021,眩耀夜行,LIVE,blade_heart,<緑> <ドロー+1>,"{""green"": 1}",{},"{""green"": 1}",1,0
PL!HS-bp2-021,眩耀夜行,LIVE,blade_heart_tags,<緑> <ドロー+1>,"[""(ドロー+1)""]",[],"[""(ドロー+1)""]",1,0
PL!HS-bp2-022,アオクハルカ,LIVE,required,<緑> 4 <任意> 1 (合計5),"{""any"": 1, ""green"": 4}",{},"{""any"": 1, ""green"": 4}",1,0
PL!HS-bp2-022,アオクハルカ,LIVE,blade_heart,<ALL>,"{""all"": 1}",{},"{""all"": 1}",1,0
PL!HS-bp2-022,アオクハルカ,LIVE,blade_heart_tags,<ALL>,"[""(ALL)""]",[],"[""(ALL)""]",1,0
PL!HS-bp2-023,Mirage Voyage,LIVE,required,<青> 4 <任意> 1 (合計5),"{""any"": 1, ""blue"": 4}",{},"{""any"": 1, ""blue"": 4}",1,0
PL!HS-bp2-023,Mirage Voyage,LIVE,blade_heart,<ALL>,"{""all"": 1}",{},"{""all"": 1}",1,0
PL!HS-bp2-023,Mirage Voyage,LIVE,blade_heart_tags,<ALL>,"[""(ALL)""]",[],"[""(ALL)""]",1,0
PL!HS-bp2-024,レディバグ,LIVE,required,<青> 6 <任意> 5 (合計11),"{""any"": 5, ""blue"": 6}",{},"{""any"": 5, ""blue"": 6}",1,0
PL!HS-bp2-024,レディバグ,LIVE,blade_heart,<ALL>,"{""all"": 1}",{},"{""all"": 1}",1,0
PL!HS-bp2-024,レディバグ,LIVE,blade_heart_tags,<ALL>,"[""(ALL)""]",[],"[""(ALL)""]",1,0
PL!HS-bp2-025,ココン東西,LIVE,required,<桃> 5 <任意> 2 (合計7),"{""any"": 2, ""pink"": 5}",{},"{""any"": 2, ""pink"": 5}",1,0
PL!HS-bp2-025,ココン東西,LIVE,blade_heart,<ALL>,"{""all"": 1}",{},"{""all"": 1}",1,0
PL!HS-bp2-025,ココン東西,LIVE,blade_heart_tags,<ALL>,"[""(ALL)""]",[],"[""(ALL)""]",1,0
PL!HS-bp2-026,みらくりえーしょん,LIVE,required,<桃> 7 <任意> 7 (合計14),"{""any"": 7, ""pink"": 7}",{},"{""any"": 7, ""pink"": 7}",1,0
PL!HS-bp2-026,みらくりえーしょん,LIVE,blade_heart,<桃> <ドロー+1>,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!HS-bp2-026,みらくりえーしょん,LIVE,blade_heart_tags,<桃> <ドロー+1>,"[""(ドロー+1)""]",[],"[""(ドロー+1)""]",1,0
PL!HS-bp5-001,日野下花帆,MEMBER,base,<桃> 1 <緑> 2 <青> 1,"{""blue"": 1, ""green"": 2, ""pink"": 1}",{},"{""blue"": 1, ""green"": 2, ""pink"": 1}",1,0
PL!HS-bp5-001,日野下花帆,MEMBER,blade_heart,<緑>,"{""green"": 1}",{},"{""green"": 1}",1,0
PL!HS-bp5-002,村野さやか,MEMBER,base,<桃> 1 <緑> 1 <青> 3 <紫> 1,"{""blue"": 3, ""green"": 1, ""pink"": 1, ""purple"": 1}",{},"{""blue"": 3, ""green"": 1, ""pink"": 1, ""purple"": 1}",1,0
PL!HS-bp5-002,村野さやか,MEMBER,blade_heart,<青>,"{""blue"": 1}",{},"{""blue"": 1}",1,0
PL!HS-bp5-003,大沢瑠璃乃,MEMBER,base,<桃> 1,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!HS-bp5-003,大沢瑠璃乃,MEMBER,blade_heart,<桃>,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!HS-bp5-004,百生吟子,MEMBER,base,<桃> 2 <黄> 1 <緑> 2 <青> 2,"{""blue"": 2, ""green"": 2, ""pink"": 2, ""yellow"": 1}",{},"{""blue"": 2, ""green"": 2, ""pink"": 2, ""yellow"": 1}",1,0
PL!HS-bp5-004,百生吟子,MEMBER,blade_heart,<緑>,"{""green"": 1}",{},"{""green"": 1}",1,0
PL!HS-bp5-005,徒町小鈴,MEMBER,base,<青> 1,"{""blue"": 1}",{},"{""blue"": 1}",1,0
PL!HS-bp5-005,徒町小鈴,MEMBER,blade_heart,<青>,"{""blue"": 1}",{},"{""blue"": 1}",1,0
PL!HS-bp5-006,安養寺姫芽,MEMBER,base,<桃> 1 <赤> 1 <緑> 1 <青> 1,"{""blue"": 1, ""green"": 1, ""pink"": 1, ""red"": 1}",{},"{""blue"": 1, ""green"": 1, ""pink"": 1, ""red"": 1}",1,0
PL!HS-bp5-006,安養寺姫芽,MEMBER,blade_heart,<桃>,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!HS-bp5-007,セラス 柳田 リリエンフェルト,MEMBER,base,<桃> 1 <緑> 1 <青> 1 <紫> 2,"{""blue"": 1, ""green"": 1, ""pink"": 1, ""purple"": 2}",{},"{""blue"": 1, ""green"": 1, ""pink"": 1, ""purple"": 2}",1,0
PL!HS-bp5-007,セラス 柳田 リリエンフェルト,MEMBER,blade_heart,<紫>,"{""purple"": 1}",{},"{""purple"": 1}",1,0
PL!HS-bp5-008,桂城泉,MEMBER,base,<紫> 1,"{""purple"": 1}",{},"{""purple"": 1}",1,0
PL!HS-bp5-008,桂城泉,MEMBER,blade_heart,<紫>,"{""purple"": 1}",{},"{""purple"": 1}",1,0
PL!HS-bp5-009,日野下花帆,MEMBER,base,<緑> 1 <紫> 1,"{""green"": 1, ""purple"": 1}",{},"{""green"": 1, ""purple"": 1}",1,0
PL!HS-bp5-009,日野下花帆,MEMBER,blade_heart,<緑>,"{""green"": 1}",{},"{""green"": 1}",1,0
PL!HS-bp5-010,村野さやか,MEMBER,base,<桃> 1 <緑> 1 <青> 1,"{""blue"": 1, ""green"": 1, ""pink"": 1}",{},"{""blue"": 1, ""green"": 1, ""pink"": 1}",1,0
PL!HS-bp5-011,大沢瑠璃乃,MEMBER,base,<桃> 2 <緑> 2 <青> 2,"{""blue"": 2, ""green"": 2, ""pink"": 2}",{},"{""blue"": 2, ""green"": 2, ""pink"": 2}",1,0
PL!HS-bp5-011,大沢瑠璃乃,MEMBER,blade_heart,<桃>,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!HS-bp5-012,百生吟子,MEMBER,base,<桃> 1 <緑> 1 <青> 1,"{""blue"": 1, ""green"": 1, ""pink"": 1}",{},"{""blue"": 1, ""green"": 1, ""pink"": 1}",1,0
PL!HS-bp5-013,徒町小鈴,MEMBER,base,<桃> 1 <緑> 1 <青> 2,"{""blue"": 2, ""green"": 1, ""pink"": 1}",{},"{""blue"": 2, ""green"": 1, ""pink"": 1}",1,0
PL!HS-bp5-013,徒町小鈴,MEMBER,blade_heart,<青>,"{""blue"": 1}",{},"{""blue"": 1}",1,0
PL!HS-bp5-014,安養寺姫芽,MEMBER,base,<桃>,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!HS-bp5-014,安養寺姫芽,MEMBER,blade_heart,<桃>,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!HS-bp5-015,セラス 柳田 リリエンフェルト,MEMBER,base,<紫> 2,"{""purple"": 2}",{},"{""purple"": 2}",1,0
PL!HS-bp5-015,セラス 柳田 リリエンフェルト,MEMBER,blade_heart,<紫> 1,"{""purple"": 1}",{},"{""purple"": 1}",1,0
PL!HS-bp5-016,桂城泉,MEMBER,base,<緑> 1 <青> 1 <紫> 2,"{""blue"": 1, ""green"": 1, ""purple"": 2}",{},"{""blue"": 1, ""green"": 1, ""purple"": 2}",1,0
PL!HS-bp5-017,Dream Believers（104期Ver.）,LIVE,required,<任意> 8 (合計8),"{""any"": 8}",{},"{""any"": 8}",1,0
PL!HS-bp5-017,Dream Believers（104期Ver.）,LIVE,blade_heart,<ALL>,"{""all"": 1}",{},"{""all"": 1}",1,0
PL!HS-bp5-017,Dream Believers（104期Ver.）,LIVE,blade_heart_tags,<ALL>,"[""(ALL)""]",[],"[""(ALL)""]",1,0
PL!HS-bp5-018,AURORA FLOWER,LIVE,required,<桃> 3 <緑> 3 <青> 3 <任意> 7 (合計16),"{""any"": 7, ""blue"": 3, ""green"": 3, ""pink"": 3}",{},"{""any"": 7, ""blue"": 3, ""green"": 3, ""pink"": 3}",1,0
PL!HS-bp5-018,AURORA FLOWER,LIVE,blade_heart,<ALL>,"{""all"": 1}",{},"{""all"": 1}",1,0
PL!HS-bp5-018,AURORA FLOWER,LIVE,blade_heart_tags,<ALL>,"[""(ALL)""]",[],"[""(ALL)""]",1,0
PL!HS-bp5-019,ハナムスビ,LIVE,required,<緑> 9 <任意> 5 (合計14),"{""any"": 5, ""green"": 9}",{},"{""any"": 5, ""green"": 9}",1,0
PL!HS-bp5-019,ハナムスビ,LIVE,blade_heart,<ALL>,"{""all"": 1}",{},"{""all"": 1}",1,0
PL!HS-bp5-019,ハナムスビ,LIVE,blade_heart_tags,<ALL>,"[""(ALL)""]",[],"[""(ALL)""]",1,0
PL!HS-bp5-020,バアドケージ,LIVE,required,<青> 2 <任意> 1 (合計3),"{""any"": 1, ""blue"": 2}",{},"{""any"": 1, ""blue"": 2}",1,0
PL!HS-bp5-020,バアドケージ,LIVE,blade_heart_tags,<スコア+1>,"[""(スコア+1)""]",[],"[""(スコア+1)""]",1,0
PL!HS-bp5-021,ジョーショーキリュー,LIVE,required,<桃> 10 (合計10),"{""pink"": 10}",{},"{""pink"": 10}",1,0
PL!HS-bp5-021,ジョーショーキリュー,LIVE,blade_heart,<ALL>,"{""all"": 1}",{},"{""all"": 1}",1,0
PL!HS-bp5-021,ジョーショーキリュー,LIVE,blade_heart_tags,<ALL>,"[""(ALL)""]",[],"[""(ALL)""]",1,0
PL!HS-bp5-022,Retrofuture,LIVE,required,<桃> 1 <緑> 1 <青> 1 <紫> 5 <任意> 2 (合計10),"{""any"": 2, ""blue"": 1, ""green"": 1, ""pink"": 1, ""purple"": 5}",{},"{""any"": 2, ""blue"": 1, ""green"": 1, ""pink"": 1, ""purple"": 5}",1,0
PL!HS-bp5-022,Retrofuture,LIVE,blade_heart,<紫> <ドロー+1>,"{""purple"": 1}",{},"{""purple"": 1}",1,0
PL!HS-bp5-022,Retrofuture,LIVE,blade_heart_tags,<紫> <ドロー+1>,"[""(ドロー+1)""]",[],"[""(ドロー+1)""]",1,0
PL!HS-bp6-001,日野下花帆,MEMBER,base,<緑> 1 <青> 1,"{""blue"": 1, ""green"": 1}",{},"{""blue"": 1, ""green"": 1}",1,0
PL!HS-bp6-001,日野下花帆,MEMBER,blade_heart,<緑>,"{""green"": 1}",{},"{""green"": 1}",1,0
PL!HS-bp6-002,村野さやか,MEMBER,base,<緑> 1 <青> 2 <紫> 1,"{""blue"": 2, ""green"": 1, ""purple"": 1}",{},"{""blue"": 2, ""green"": 1, ""purple"": 1}",1,0
PL!HS-bp6-003,大沢瑠璃乃,MEMBER,base,<桃> 2 <青> 2,"{""blue"": 2, ""pink"": 2}",{},"{""blue"": 2, ""pink"": 2}",1,0
PL!HS-bp6-003,大沢瑠璃乃,MEMBER,blade_heart,<青>,"{""blue"": 1}",{},"{""blue"": 1}",1,0
PL!HS-bp6-004,百生吟子,MEMBER,base,<緑> 2 <青> 2 <紫> 1,"{""blue"": 2, ""green"": 2, ""purple"": 1}",{},"{""blue"": 2, ""green"": 2, ""purple"": 1}",1,0
PL!HS-bp6-004,百生吟子,MEMBER,blade_heart,<青>,"{""blue"": 1}",{},"{""blue"": 1}",1,0
PL!HS-bp6-005,徒町小鈴,MEMBER,base,<桃> 1 <緑> 1 <青> 1 <紫> 1,"{""blue"": 1, ""green"": 1, ""pink"": 1, ""purple"": 1}",{},"{""blue"": 1, ""green"": 1, ""pink"": 1, ""purple"": 1}",1,0
PL!HS-bp6-006,安養寺姫芽,MEMBER,base,<桃> 6 <緑> 1 <紫> 1,"{""green"": 1, ""pink"": 6, ""purple"": 1}",{},"{""green"": 1, ""pink"": 6, ""purple"": 1}",1,0
PL!HS-bp6-006,安養寺姫芽,MEMBER,blade_heart,<桃>,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!HS-bp6-007,セラス 柳田 リリエンフェルト,MEMBER,base,<桃> 1 <緑> 1 <青> 1 <紫> 4,"{""blue"": 1, ""green"": 1, ""pink"": 1, ""purple"": 4}",{},"{""blue"": 1, ""green"": 1, ""pink"": 1, ""purple"": 4}",1,0
PL!HS-bp6-008,桂城泉,MEMBER,base,<桃> 1 <緑> 1 <紫> 2,"{""green"": 1, ""pink"": 1, ""purple"": 2}",{},"{""green"": 1, ""pink"": 1, ""purple"": 2}",1,0
PL!HS-bp6-008,桂城泉,MEMBER,blade_heart,<緑>,"{""green"": 1}",{},"{""green"": 1}",1,0
PL!HS-bp6-009,日野下花帆,MEMBER,base,<緑> 1 <紫> 1,"{""green"": 1, ""purple"": 1}",{},"{""green"": 1, ""purple"": 1}",1,0
PL!HS-bp6-010,村野さやか,MEMBER,base,<青> 1,"{""blue"": 1}",{},"{""blue"": 1}",1,0
PL!HS-bp6-010,村野さやか,MEMBER,blade_heart,<青>,"{""blue"": 1}",{},"{""blue"": 1}",1,0
PL!HS-bp6-011,大沢瑠璃乃,MEMBER,base,<緑> 1,"{""green"": 1}",{},"{""green"": 1}",1,0
PL!HS-bp6-011,大沢瑠璃乃,MEMBER,blade_heart,<緑>,"{""green"": 1}",{},"{""green"": 1}",1,0
PL!HS-bp6-012,百生吟子,MEMBER,base,<緑> 1,"{""green"": 1}",{},"{""green"": 1}",1,0
PL!HS-bp6-012,百生吟子,MEMBER,blade_heart,<緑>,"{""green"": 1}",{},"{""green"": 1}",1,0
PL!HS-bp6-013,徒町小鈴,MEMBER,base,<桃> 1 <青> 2 <紫> 2,"{""blue"": 2, ""pink"": 1, ""purple"": 2}",{},"{""blue"": 2, ""pink"": 1, ""purple"": 2}",1,0
PL!HS-bp6-013,徒町小鈴,MEMBER,blade_heart,<紫>,"{""purple"": 1}",{},"{""purple"": 1}",1,0
PL!HS-bp6-014,安養寺姫芽,MEMBER,base,<桃> 1,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!HS-bp6-015,セラス 柳田 リリエンフェルト,MEMBER,base,<紫> 2,"{""purple"": 2}",{},"{""purple"": 2}",1,0
PL!HS-bp6-016,桂城泉,MEMBER,base,<桃> 1 <緑> 1 <青> 1,"{""blue"": 1, ""green"": 1, ""pink"": 1}",{},"{""blue"": 1, ""green"": 1, ""pink"": 1}",1,0
PL!HS-bp6-017,日野下花帆,MEMBER,base,<桃> 1 <緑> 1 <青> 1 <紫> 1,"{""blue"": 1, ""green"": 1, ""pink"": 1, ""purple"": 1}",{},"{""blue"": 1, ""green"": 1, ""pink"": 1, ""purple"": 1}",1,0
PL!HS-bp6-017,日野下花帆,MEMBER,blade_heart,<緑>,"{""green"": 1}",{},"{""green"": 1}",1,0
PL!HS-bp6-018,村野さやか,MEMBER,base,<青> 1 <紫> 1,"{""blue"": 1, ""purple"": 1}",{},"{""blue"": 1, ""purple"": 1}",1,0
PL!HS-bp6-019,大沢瑠璃乃,MEMBER,base,<桃> 2,"{""pink"": 2}",{},"{""pink"": 2}",1,0
PL!HS-bp6-020,百生吟子,MEMBER,base,<緑> 1,"{""green"": 1}",{},"{""green"": 1}",1,0
PL!HS-bp6-020,百生吟子,MEMBER,blade_heart,<緑>,"{""green"": 1}",{},"{""green"": 1}",1,0
PL!HS-bp6-021,徒町小鈴,MEMBER,base,<桃> 1 <緑> 1 <青> 1 <紫> 1,"{""blue"": 1, ""green"": 1, ""pink"": 1, ""purple"": 1}",{},"{""blue"": 1, ""green"": 1, ""pink"": 1, ""purple"": 1}",1,0
PL!HS-bp6-022,安養寺姫芽,MEMBER,base,<桃> 2 <青> 1,"{""blue"": 1, ""pink"": 2}",{},"{""blue"": 1, ""pink"": 2}",1,0
PL!HS-bp6-023,セラス 柳田 リリエンフェルト,MEMBER,base,<桃> 1 <青> 1 <紫> 1,"{""blue"": 1, ""pink"": 1, ""purple"": 1}",{},"{""blue"": 1, ""pink"": 1, ""purple"": 1}",1,0
PL!HS-bp6-024,桂城泉,MEMBER,base,<桃> 1 <紫> 1,"{""pink"": 1, ""purple"": 1}",{},"{""pink"": 1, ""purple"": 1}",1,0
PL!HS-bp6-024,桂城泉,MEMBER,blade_heart,<紫>,"{""purple"": 1}",{},"{""purple"": 1}",1,0
PL!HS-bp6-025,ツバサ・ラ・リベルテ,LIVE,required,<桃> 1 <緑> 1 <青> 4 <任意> 4 (合計10),"{""any"": 4, ""blue"": 4, ""green"": 1, ""pink"": 1}",{},"{""any"": 4, ""blue"": 4, ""green"": 1, ""pink"": 1}",1,0
PL!HS-bp6-025,ツバサ・ラ・リベルテ,LIVE,blade_heart,<ALL>,"{""all"": 1}",{},"{""all"": 1}",1,0
PL!HS-bp6-025,ツバサ・ラ・リベルテ,LIVE,blade_heart_tags,<ALL>,"[""(ALL)""]",[],"[""(ALL)""]",1,0
PL!HS-bp6-026,可惜夜花火,LIVE,required,<緑> 2 <紫> 2 <任意> 3 (合計7),"{""any"": 3, ""green"": 2, ""purple"": 2}",{},"{""any"": 3, ""green"": 2, ""purple"": 2}",1,0
PL!HS-bp6-026,可惜夜花火,LIVE,blade_heart,<ALL>,"{""all"": 1}",{},"{""all"": 1}",1,0
PL!HS-bp6-026,可惜夜花火,LIVE,blade_heart_tags,<ALL>,"[""(ALL)""]",[],"[""(ALL)""]",1,0
PL!HS-bp6-027,月夜見海月,LIVE,required,<緑> 4 <青> 1 <紫> 1 <任意> 6 (合計12),"{""any"": 6, ""blue"": 1, ""green"": 4, ""purple"": 1}",{},"{""any"": 6, ""blue"": 1, ""green"": 4, ""purple"": 1}",1,0
PL!HS-bp6-027,月夜見海月,LIVE,blade_heart,<緑> <ドロー+1>,"{""green"": 1}",{},"{""green"": 1}",1,0
PL!HS-bp6-027,月夜見海月,LIVE,blade_heart_tags,<緑> <ドロー+1>,"[""(ドロー+1)""]",[],"[""(ドロー+1)""]",1,0
PL!HS-bp6-028,ブルウモーメント,LIVE,required,<青> 2 <紫> 1 <任意> 2 (合計5),"{""any"": 2, ""blue"": 2, ""purple"": 1}",{},"{""any"": 2, ""blue"": 2, ""purple"": 1}",1,0
PL!HS-bp6-028,ブルウモーメント,LIVE,blade_heart,<ALL>,"{""all"": 1}",{},"{""all"": 1}",1,0
PL!HS-bp6-028,ブルウモーメント,LIVE,blade_heart_tags,<ALL>,"[""(ALL)""]",[],"[""(ALL)""]",1,0
PL!HS-bp6-029,Proof,LIVE,required,<緑> 1 <青> 4 <紫> 1 <任意> 6 (合計12),"{""any"": 6, ""blue"": 4, ""green"": 1, ""purple"": 1}",{},"{""any"": 6, ""blue"": 4, ""green"": 1, ""purple"": 1}",1,0
PL!HS-bp6-029,Proof,LIVE,blade_heart,<ALL>,"{""all"": 1}",{},"{""all"": 1}",1,0
PL!HS-bp6-029,Proof,LIVE,blade_heart_tags,<ALL>,"[""(ALL)""]",[],"[""(ALL)""]",1,0
PL!HS-bp6-030,Very! Very! COCO夏っ,LIVE,required,<桃> 1 <緑> 1 <任意> 1 (合計3),"{""any"": 1, ""green"": 1, ""pink"": 1}",{},"{""any"": 1, ""green"": 1, ""pink"": 1}",1,0
PL!HS-bp6-030,Very! Very! COCO夏っ,LIVE,blade_heart,<ALL>,"{""all"": 1}",{},"{""all"": 1}",1,0
PL!HS-bp6-030,Very! Very! COCO夏っ,LIVE,blade_heart_tags,<ALL>,"[""(ALL)""]",[],"[""(ALL)""]",1,0
PL!HS-bp6-031,ファンファーレ！！！,LIVE,required,<桃> 8 <緑> 1 <青> 1 <紫> 1 <任意> 7 (合計18),"{""any"": 7, ""blue"": 1, ""green"": 1, ""pink"": 8, ""purple"": 1}",{},"{""any"": 7, ""blue"": 1, ""green"": 1, ""pink"": 8, ""purple"": 1}",1,0
PL!HS-bp6-031,ファンファーレ！！！,LIVE,blade_heart_tags,<スコア+1>,"[""(スコア+1)""]",[],"[""(スコア+1)""]",1,0
PL!HS-bp6-032,フュージョンクラスト,LIVE,required,<緑> 1 <紫> 3 <任意> 1 (合計5),"{""any"": 1, ""green"": 1, ""purple"": 3}",{},"{""any"": 1, ""green"": 1, ""purple"": 3}",1,0
PL!HS-bp6-032,フュージョンクラスト,LIVE,blade_heart,<ALL>,"{""all"": 1}",{},"{""all"": 1}",1,0
PL!HS-bp6-032,フュージョンクラスト,LIVE,blade_heart_tags,<ALL>,"[""(ALL)""]",[],"[""(ALL)""]",1,0
PL!HS-cl1-001,日野下花帆,MEMBER,base,<青> 1,"{""blue"": 1}",{},"{""blue"": 1}",1,0
PL!HS-cl1-001,日野下花帆,MEMBER,blade_heart,<青>,"{""blue"": 1}",{},"{""blue"": 1}",1,0
PL!HS-cl1-002,村野さやか,MEMBER,base,<桃> 1 <青> 1,"{""blue"": 1, ""pink"": 1}",{},"{""blue"": 1, ""pink"": 1}",1,0
PL!HS-cl1-003,大沢瑠璃乃,MEMBER,base,<青> 1,"{""blue"": 1}",{},"{""blue"": 1}",1,0
PL!HS-cl1-003,大沢瑠璃乃,MEMBER,blade_heart,<青>,"{""blue"": 1}",{},"{""blue"": 1}",1,0
PL!HS-cl1-004,百生吟子,MEMBER,base,<緑> 1 <紫> 2,"{""green"": 1, ""purple"": 2}",{},"{""green"": 1, ""purple"": 2}",1,0
PL!HS-cl1-005,徒町小鈴,MEMBER,base,<青> 2,"{""blue"": 2}",{},"{""blue"": 2}",1,0
PL!HS-cl1-005,徒町小鈴,MEMBER,blade_heart,<青>,"{""blue"": 1}",{},"{""blue"": 1}",1,0
PL!HS-cl1-006,安養寺姫芽,MEMBER,base,<桃> 1 <緑> 1 <青> 1 <紫> 1,"{""blue"": 1, ""green"": 1, ""pink"": 1, ""purple"": 1}",{},"{""blue"": 1, ""green"": 1, ""pink"": 1, ""purple"": 1}",1,0
PL!HS-cl1-006,安養寺姫芽,MEMBER,blade_heart,<桃>,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!HS-cl1-007,セラス 柳田 リリエンフェルト,MEMBER,base,<青> 1 <紫> 2,"{""blue"": 1, ""purple"": 2}",{},"{""blue"": 1, ""purple"": 2}",1,0
PL!HS-cl1-008,桂城泉,MEMBER,base,<緑> 1,"{""green"": 1}",{},"{""green"": 1}",1,0
PL!HS-cl1-008,桂城泉,MEMBER,blade_heart,<緑>,"{""green"": 1}",{},"{""green"": 1}",1,0
PL!HS-cl1-009,水彩世界,LIVE,required,<緑> 1 <青> 1 <任意> 1 (合計3),"{""any"": 1, ""blue"": 1, ""green"": 1}",{},"{""any"": 1, ""blue"": 1, ""green"": 1}",1,0
PL!HS-cl1-009,水彩世界,LIVE,blade_heart,<ALL>,"{""all"": 1}",{},"{""all"": 1}",1,0
PL!HS-cl1-009,水彩世界,LIVE,blade_heart_tags,<ALL>,"[""(ALL)""]",[],"[""(ALL)""]",1,0
PL!HS-cl1-010,AWOKE,LIVE,required,<青> 5 <任意> 3 (合計8),"{""any"": 3, ""blue"": 5}",{},"{""any"": 3, ""blue"": 5}",1,0
PL!HS-cl1-010,AWOKE,LIVE,blade_heart,<ALL>,"{""all"": 1}",{},"{""all"": 1}",1,0
PL!HS-cl1-010,AWOKE,LIVE,blade_heart_tags,<ALL>,"[""(ALL)""]",[],"[""(ALL)""]",1,0
PL!HS-cl1-011,ド！ド！ド！,LIVE,required,<桃> 4 <緑> 1 <紫> 1 <任意> 6 (合計12),"{""any"": 6, ""green"": 1, ""pink"": 4, ""purple"": 1}",{},"{""any"": 6, ""green"": 1, ""pink"": 4, ""purple"": 1}",1,0
PL!HS-cl1-011,ド！ド！ド！,LIVE,blade_heart,<桃> <ドロー+1>,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!HS-cl1-011,ド！ド！ド！,LIVE,blade_heart_tags,<桃> <ドロー+1>,"[""(ドロー+1)""]",[],"[""(ドロー+1)""]",1,0
PL!HS-cl1-012,Edelied,LIVE,required,<紫> 3 <任意> 2 (合計5),"{""any"": 2, ""purple"": 3}",{},"{""any"": 2, ""purple"": 3}",1,0
PL!HS-cl1-012,Edelied,LIVE,blade_heart,<ALL>,"{""all"": 1}",{},"{""all"": 1}",1,0
PL!HS-cl1-012,Edelied,LIVE,blade_heart_tags,<ALL>,"[""(ALL)""]",[],"[""(ALL)""]",1,0
PL!HS-pb1-001,日野下花帆,MEMBER,base,<緑> 3 <紫> 1,"{""green"": 3, ""purple"": 1}",{},"{""green"": 3, ""purple"": 1}",1,0
PL!HS-pb1-001,日野下花帆,MEMBER,blade_heart,<緑>,"{""green"": 1}",{},"{""green"": 1}",1,0
PL!HS-pb1-002,村野さやか,MEMBER,blade_heart,<青>,"{""blue"": 1}",{},"{""blue"": 1}",1,0
PL!HS-pb1-003,大沢瑠璃乃,MEMBER,base,<桃> 3 <緑> 1 <青> 1,"{""blue"": 1, ""green"": 1, ""pink"": 3}",{},"{""blue"": 1, ""green"": 1, ""pink"": 3}",1,0
PL!HS-pb1-004,百生吟子,MEMBER,base,<緑> 1 <青> 1,"{""blue"": 1, ""green"": 1}",{},"{""blue"": 1, ""green"": 1}",1,0
PL!HS-pb1-004,百生吟子,MEMBER,blade_heart,<緑>,"{""green"": 1}",{},"{""green"": 1}",1,0
PL!HS-pb1-005,徒町小鈴,MEMBER,base,<緑> 1 <青> 1 <紫> 1,"{""blue"": 1, ""green"": 1, ""purple"": 1}",{},"{""blue"": 1, ""green"": 1, ""purple"": 1}",1,0
PL!HS-pb1-005,徒町小鈴,MEMBER,blade_heart,<青>,"{""blue"": 1}",{},"{""blue"": 1}",1,0
PL!HS-pb1-006,安養寺姫芽,MEMBER,base,<桃> 2 <緑> 1 <紫> 1,"{""green"": 1, ""pink"": 2, ""purple"": 1}",{},"{""green"": 1, ""pink"": 2, ""purple"": 1}",1,0
PL!HS-pb1-006,安養寺姫芽,MEMBER,blade_heart,<桃>,"{""pink"": 1}",{},"{""pink"": 1}",1,0
PL!HS-pb1-007,セラス 柳田 リリエンフェルト,MEMBER,base,<桃> 1 <青> 1 <紫> 2,"{""blue"": 1, ""pink"": 1, ""purple"": 2}",{},"{""blue"": 1, ""pink"": 1, ""purple"": 2}",1,0
PL!HS-pb1-007,セラス 柳田 リリエンフェルト,MEMBER,blade_heart,<紫>,"{""purple"": 1}",{},"{""purple"": 1}",1,0
PL!HS-pb1-008,桂城泉,MEMBER,base,<桃> 1 <緑> 1 <青> 1 <紫> 5,"{""blue"": 1, ""green"": 1, ""pink"": 1, ""purple"": 5}",{},"{""blue"": 1, ""green"": 1, ""pink"": 1, ""purple"": 5}",1,0
PL!HS-pb1-009,日野下花帆,MEMBER,base,<桃> 1 <緑> 3 <紫> 1,"{""green"": 3, ""pink"": 1, ""purple"": 1}",{},"{""green"": 3, ""pink"": 1, ""purple"": 1}",1,0
PL!HS-pb1-009,日野下花帆,MEMBER,blade_heart,<緑>,"{""green"": 1}",{},"{""green"": 1}",1,0
PL!HS-pb1-010,村野さやか,MEMBER,base,<青> 1,"{""blue"": 1}",{},"{""blue"": 1}",1,0
PL!HS-pb1-011,大沢瑠璃乃,MEMBER,base,<桃> 2 <青> 1,"{""blue"": 1, ""pink"": 2}",{},"{""blue"": 1, ""pink"": 2}",1,0
PL!HS-pb1-012,百生吟子,MEMBER,base,<桃> 2 <緑> 2 <青> 2,"{""blue"": 2, ""green"": 2, ""pink"": 2}",{},"{""blue"": 2, ""green"": 2, ""pink"": 2}",1,0
