family_key,audit_id,cardnumber,cardname,trigger,family_size,selection_reason
draw_then_discard_unless_baton_from_group|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-pb1-017#A01,PL!-pb1-017,小泉花陽,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
both_players_green_member_cost_le_to_empty_wait|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-pb1-018#A01,PL!-pb1-018,矢澤にこ,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
stage_group_activate_all_then_score_if_activated_gte|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-pb1-028#A01,PL!-pb1-028,WAO-WAO Powerful day!,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
success_empty_stage_only_group_score|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-pb1-029#A01,PL!-pb1-029,知らないLove*教えてLove,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
opponent_wait_exists_reduce_required_any|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-pb1-030#A01,PL!-pb1-030,Cutie Panther,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
live_success_bibi_2diff_pick_bibi_member_from_green|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-pb1-030#A02,PL!-pb1-030,Cutie Panther,ライブ成功時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
retrieve_yell_group_member|selection_pending_or_card_list|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-pb1-031#A01,PL!-pb1-031,輝夜の城で踊りたい,ライブ成功時,3,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
live_success_success_zone_has_mus_draw1|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-pb1-032#A01,PL!-pb1-032,SENTIMENTAL StepS,ライブ成功時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
success_count_gain_blades_until_end_live|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-sd1-001#A02,PL!-sd1-001,高坂穂乃果,常時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
enter_umi_sd1004_top5_mus_live_optional|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-sd1-004#A01,PL!-sd1-004,園田海未,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
success_zone_card_to_hand_then_revealed_to_success|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-sd1-006#A01,PL!-sd1-006,西木野真姫,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
mill_top_k_draw_if_contains_live|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-sd1-007#A01,PL!-sd1-007,東條希,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
body_mill10|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-sd1-008#A01,PL!-sd1-008,小泉花陽,起動,2,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
green_group_cards_gte_live_total_score_bonus|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-sd1-009#A01,PL!-sd1-009,矢澤にこ,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
look_top3_choose_one_to_hand_rest_green|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-sd1-011#A01,PL!-sd1-011,絢瀬絵里,登場,19,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
enter_kaho_bp2010_top5_member_optional|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-sd1-015#A01,PL!-sd1-015,西木野真姫,登場,2,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
look_top_k_reorder_keep_any_rest_waiting|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-sd1-019#A01,PL!-sd1-019,START：DASH!!,ライブ成功時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
success_count_reduce_required_any|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!-sd1-022#A01,PL!-sd1-022,僕らは今のなかで,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
mill_top_k_gain_icons_if_all_member_heart_color|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-PR-019#A01,PL!HS-PR-019,百生吟子,登場,3,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
topdeck_green_member_n|selection_pending_or_card_list|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-PR-020#A01,PL!HS-PR-020,徒町小鈴,ライブ開始時,2,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
retrieve_yell_cost2member_or_score2live|selection_pending_or_card_list|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-PR-027#A01,PL!HS-PR-027,徒町小鈴,ライブ成功時,3,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
live_success_stage_current_heart_gt_original_exists_draw|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-PR-028#A01,PL!HS-PR-028,Echoes Beyond,ライブ成功時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
draw_until_hand_size_n|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-PR-031#A01,PL!HS-PR-031,日野下花帆,登場,2,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
green_count_lt_mill_diff_topdeck_live_optional|selection_pending_or_card_list|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-PR-036#A01,PL!HS-PR-036,大沢瑠璃乃,登場,3,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
energy_activate_n|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp1-001#A01,PL!HS-bp1-001,日野下花帆,登場,7,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
green_member_cost_le_group_to_former_area|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp1-002#A01,PL!HS-bp1-002,村野さやか,起動,2,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
live_start_live_cards_count_x1_blade|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp1-004#A02,PL!HS-bp1-004,夕霧綴理,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
draw_by_context_placed_count|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp1-005#A01,PL!HS-bp1-005,大沢瑠璃乃,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
live_start_discard1_other_member_exists_choose_heart|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp1-006#A02,PL!HS-bp1-006,藤島慈,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
mill_top_k_draw_if_all_members|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp1-008#A01,PL!HS-bp1-008,徒町小鈴,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
retrieve_yell_group_live|selection_pending_or_card_list|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp1-021#A01,PL!HS-bp1-021,Holiday∞Holiday,ライブ成功時,2,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
live_success_revealed_group_member_count_score|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp1-022#A01,PL!HS-bp1-022,AWOKE,ライブ成功時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
live_success_score_gt_opp_and_hasunosora_energy_wait|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp1-023#A01,PL!HS-bp1-023,ド！ド！ド！,ライブ成功時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
body_pick_hasunosora_live_score_le3_from_green|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp2-001#A01,PL!HS-bp2-001,日野下花帆,起動,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
enter_sayaka_pick_cost_le2_member_from_green_up_to_2|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp2-002#A01,PL!HS-bp2-002,村野さやか,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
body_sayaka_higher_cost_member_exists_blade3|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp2-002#A02,PL!HS-bp2-002,村野さやか,常時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
live_start_kozue_bp2003_reorder_top3|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp2-003#A01,PL!HS-bp2-003,乙宗梢,ライブ開始時,5,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
enter_discard1_other_member_exists_pick_mirakupark_from_green|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp2-005#A01,PL!HS-bp2-005,大沢瑠璃乃,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
live_start_all_stage_filled_x2_blade|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp2-005#A02,PL!HS-bp2-005,大沢瑠璃乃,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
stage_members_free_move_notice|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp2-006#A01,PL!HS-bp2-006,藤島慈,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
body_tsukasa_mirakupark_count_blade|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp2-006#A02,PL!HS-bp2-006,藤島慈,常時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
enter_baton_from_lower_cost_group_member_wrapper|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp2-007#A01,PL!HS-bp2-007,百生吟子,登場,3,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
live_start_discard_member_same_name_green1_blade1|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp2-007#A02,PL!HS-bp2-007,百生吟子,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
enter_sayaka_bp2011_mill5|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp2-011#A01,PL!HS-bp2-011,村野さやか,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
body_kozue_bp2012_stage_to_green_top5_member_optional|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp2-012#A01,PL!HS-bp2-012,乙宗梢,自動,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
body_tsuzuri_bp2013_stage_to_green_top5_live_optional|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp2-013#A01,PL!HS-bp2-013,夕霧綴理,自動,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
enter_rurino_bp2014_draw1_cannot_live_until_end_of_live|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp2-014#A01,PL!HS-bp2-014,大沢瑠璃乃,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
body_megumi_bp2015_leave_stage_draw2_discard1|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp2-015#A01,PL!HS-bp2-015,藤島慈,自動,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
enter_ginko_bp2016_reorder_top2|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp2-016#A01,PL!HS-bp2-016,百生吟子,登場,4,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
enter_kosuzu_bp2017_green_ge10_draw1|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp2-017#A01,PL!HS-bp2-017,徒町小鈴,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
enter_main_pay2_faceup_live_to_set_reduce_next_live_set|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp2-018#A01,PL!HS-bp2-018,安養寺姫芽,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
stage_group_exists_choose_required_override|selection_pending_or_card_list|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp2-019#A01,PL!HS-bp2-019,"Bloom the smile, Bloom the dream!",ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
stage_group_distinct_name_score_per|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp2-020#A02,PL!HS-bp2-020,Link to the FUTURE,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
baton_entered_group_count_reduce_required_color|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp2-021#A01,PL!HS-bp2-021,眩耀夜行,ライブ開始時,3,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
green_group_live_count_this_card_score|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp2-022#A01,PL!HS-bp2-022,アオクハルカ,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
named_cost_greater_reduce_required_any|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp2-024#A01,PL!HS-bp2-024,レディバグ,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
named_positions_score|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp2-026#A01,PL!HS-bp2-026,みらくりえーしょん,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
mill_top_k_gain_icons_if_contains_live|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp5-001#A01,PL!HS-bp5-001,日野下花帆,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
body_always_stage_distinct_costs_icons|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp5-002#A01,PL!HS-bp5-002,村野さやか,常時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
green_member_cost_le_any_to_empty_area|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp5-002#A02,PL!HS-bp5-002,村野さやか,起動,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
discarded_card_group_member_gain_icons|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp5-003#A02,PL!HS-bp5-003,大沢瑠璃乃,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
body_always_stage_group_cost_except_blades|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp5-004#A01,PL!HS-bp5-004,百生吟子,常時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
stage_group_member_cost_equal_original_minus_self_gain_icon_if_gte|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp5-005#A01,PL!HS-bp5-005,徒町小鈴,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
body_always_stage_other_group_member_blades|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp5-007#A02,PL!HS-bp5-007,セラス 柳田 リリエンフェルト,常時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
look_top_k_optional_cost_ge_group_member|selection_pending_or_card_list|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp5-008#A01,PL!HS-bp5-008,桂城泉,登場,4,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
mill_top_k_gain_icons_if_all_members|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp5-013#A01,PL!HS-bp5-013,徒町小鈴,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
stage_movement_self_event_wrapper|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp5-014#A01,PL!HS-bp5-014,安養寺姫芽,自動,11,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
stage_has_group_and_distinct_units_gte_score|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp5-017#A01,PL!HS-bp5-017,Dream Believers（104期Ver.）,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
stage_distinct_names_and_costs_gte_score|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp5-018#A02,PL!HS-bp5-018,AURORA FLOWER,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
body_always_live_zone_group_other_required_reduce|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp5-019#A01,PL!HS-bp5-019,ハナムスビ,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
this_card_score_if_stage_group_cost_count_gte|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp5-020#A01,PL!HS-bp5-020,バアドケージ,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
stage_group_member_original_hearts_all_color|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp5-021#A01,PL!HS-bp5-021,ジョーショーキリュー,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
this_card_score_if_stage_group_count_gte|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp5-021#A02,PL!HS-bp5-021,ジョーショーキリュー,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
look_top_stage_member_count_plus_keep_one_top_rest_waiting|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp6-001#A01,PL!HS-bp6-001,日野下花帆,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
put_yell_revealed_any_to_deck_top_optional|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp6-001#A02,PL!HS-bp6-001,日野下花帆,ライブ成功時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
body_always_stage_other_member_blades|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp6-002#A01,PL!HS-bp6-002,村野さやか,常時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
activate_wait_group_member_then_retrieve_group_live|selection_pending_or_card_list|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp6-003#A01,PL!HS-bp6-003,大沢瑠璃乃,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
generic_stage_member_temp_bonus|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp6-003#A02,PL!HS-bp6-003,大沢瑠璃乃,ライブ開始時,6,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
gain_blade_extra_if_discarded_named_member|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp6-004#A02,PL!HS-bp6-004,百生吟子,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
self_temp_cost_then_stage_group_cost_sum_gt_opponent_gain_icons|confirm_effect|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp6-005#A01,PL!HS-bp6-005,徒町小鈴,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
body_always_hand_cost_stage_group_per|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp6-006#A01,PL!HS-bp6-006,安養寺姫芽,常時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
set_self_wait_no_active_next|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp6-006#A03,PL!HS-bp6-006,安養寺姫芽,ライブ成功時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
self_wait_then_effect_wrapper|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp6-008#A01,PL!HS-bp6-008,桂城泉,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
activate_self_if_live_in_progress_score_le|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp6-008#A02,PL!HS-bp6-008,桂城泉,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
mill_top_k_gain_icons_if_all_group_cards|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp6-009#A01,PL!HS-bp6-009,日野下花帆,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
draw_then_stage_group_member_temp_cost|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp6-010#A01,PL!HS-bp6-010,村野さやか,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
stage_has_other_group_or_unit_member_wrapper|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp6-012#A01,PL!HS-bp6-012,百生吟子,登場,3,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
set_opponent_wait_original_blade_le_not_group|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp6-013#A01,PL!HS-bp6-013,徒町小鈴,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
draw2_discard2_if_entry_not_from_hand|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp6-015#A01,PL!HS-bp6-015,セラス 柳田 リリエンフェルト,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
green_member_cost_le_group_to_empty_area|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp6-016#A01,PL!HS-bp6-016,桂城泉,起動,2,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
stage_member_count_gte_wrapper|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp6-025#A02,PL!HS-bp6-025,ツバサ・ラ・リベルテ,ライブ成功時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
excess_heart_count_wrapper|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp6-028#A01,PL!HS-bp6-028,ブルウモーメント,ライブ成功時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
stage_group_cost_sum_top_hand_rest_top_reduce|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp6-029#A01,PL!HS-bp6-029,Proof,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
bottom_all_green_members_optional_group_threshold_stage_named_blade|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp6-031#A01,PL!HS-bp6-031,ファンファーレ！！！,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
retrieve_yell_cost_member_le|selection_pending_or_card_list|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-bp6-032#A01,PL!HS-bp6-032,フュージョンクラスト,ライブ成功時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
look_top1_optional_mill|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-cl1-001#A01,PL!HS-cl1-001,日野下花帆,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
generic_green_group_card_one|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-cl1-002#A01,PL!HS-cl1-002,村野さやか,登場,9,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
retrieve_yell_group_cost_member_between|selection_pending_or_card_list|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-cl1-009#A01,PL!HS-cl1-009,水彩世界,ライブ成功時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
live_success_same_score_apply|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-cl1-012#A01,PL!HS-cl1-012,Edelied,ライブ成功時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
under_member_count_temp_cost_icons_cap|effect_template_route|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-pb1-002#A02,PL!HS-pb1-002,村野さやか,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
discard_hand_group_members_any_draw_plus_one|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-pb1-003#A01,PL!HS-pb1-003,大沢瑠璃乃,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
choose_number_reveal_top_member_cost_compare_hand_or_blade|selection_pending_or_card_list|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-pb1-005#A01,PL!HS-pb1-005,徒町小鈴,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
position_change_to_other_group_member_area_then_gain_icons|position_change|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-pb1-006#A01,PL!HS-pb1-006,安養寺姫芽,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
both_players_wait_all_original_blade_le|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-pb1-008#A01,PL!HS-pb1-008,桂城泉,登場,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
draw_discard_if_self_blade_count_gte|message_ack_or_auto_order|cmd_resolve_pending / _exec_auto_trigger / try_apply_effect_template,PL!HS-pb1-009#A02,PL!HS-pb1-009,日野下花帆,ライブ開始時,1,representative of matcher/pending/resolve route; prefer selectable or conditional pending when available
