cardnumber,field,audit_value,runtime_value,severity,notes
PL!HS-bp1-021,required_hearts_counts_json,<緑> 5 <任意> 5 (合計10),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp1-021,required_hearts_counts_json_vs_reparsed,{},"{""green"": 5, ""any"": 5}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp1-022,required_hearts_counts_json,<青> 6 <任意> 6 (合計12),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp1-022,required_hearts_counts_json_vs_reparsed,{},"{""blue"": 6, ""any"": 6}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp1-023,required_hearts_counts_json,<桃> 3 <任意> 2 (合計5),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp1-023,required_hearts_counts_json_vs_reparsed,{},"{""pink"": 3, ""any"": 2}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp2-001,base_hearts_counts_json,<赤> 1 <緑> 3 <青> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp2-001,base_hearts_counts_json_vs_reparsed,{},"{""red"": 1, ""green"": 3, ""blue"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp2-002,base_hearts_counts_json,<青> 4,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp2-002,base_hearts_counts_json_vs_reparsed,{},"{""blue"": 4}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp2-003,base_hearts_counts_json,<緑> 2 <青> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp2-003,base_hearts_counts_json_vs_reparsed,{},"{""green"": 2, ""blue"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp2-004,base_hearts_counts_json,<青> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp2-004,base_hearts_counts_json_vs_reparsed,{},"{""blue"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp2-005,base_hearts_counts_json,<桃> 4,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp2-005,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 4}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp2-006,base_hearts_counts_json,<桃> 4 <緑> 1 <青> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp2-006,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 4, ""green"": 1, ""blue"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp2-007,base_hearts_counts_json,<緑> 3,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp2-007,base_hearts_counts_json_vs_reparsed,{},"{""green"": 3}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp2-008,base_hearts_counts_json,<青> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp2-008,base_hearts_counts_json_vs_reparsed,{},"{""blue"": 2}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp2-009,base_hearts_counts_json,<桃> 3 <緑> 1 <青> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp2-009,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 3, ""green"": 1, ""blue"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp2-010,base_hearts_counts_json,<桃> 1 <緑> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp2-010,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""green"": 2}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp2-011,base_hearts_counts_json,<青> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp2-011,base_hearts_counts_json_vs_reparsed,{},"{""blue"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp2-012,base_hearts_counts_json,<緑> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp2-012,base_hearts_counts_json_vs_reparsed,{},"{""green"": 2}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp2-013,base_hearts_counts_json,<青> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp2-013,base_hearts_counts_json_vs_reparsed,{},"{""blue"": 2}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp2-014,base_hearts_counts_json,<桃> 1 <青> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp2-014,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""blue"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp2-015,base_hearts_counts_json,<桃> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp2-015,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 2}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp2-016,base_hearts_counts_json,<緑> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp2-016,base_hearts_counts_json_vs_reparsed,{},"{""green"": 2}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp2-017,base_hearts_counts_json,<緑> 1 <青> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp2-017,base_hearts_counts_json_vs_reparsed,{},"{""green"": 1, ""blue"": 2}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp2-018,base_hearts_counts_json,<桃> 2 <青> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp2-018,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 2, ""blue"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp2-019,required_hearts_counts_json,<桃> 1 <緑> 1 <青> 1 <任意> 1 (合計4),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp2-019,required_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""green"": 1, ""blue"": 1, ""any"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp2-020,required_hearts_counts_json,<桃> 2 <緑> 2 <青> 2 <任意> 8 (合計14),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp2-020,required_hearts_counts_json_vs_reparsed,{},"{""pink"": 2, ""green"": 2, ""blue"": 2, ""any"": 8}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp2-021,required_hearts_counts_json,<緑> 7 <任意> 5 (合計12),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp2-021,required_hearts_counts_json_vs_reparsed,{},"{""green"": 7, ""any"": 5}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp2-022,required_hearts_counts_json,<緑> 4 <任意> 1 (合計5),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp2-022,required_hearts_counts_json_vs_reparsed,{},"{""green"": 4, ""any"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp2-023,required_hearts_counts_json,<青> 4 <任意> 1 (合計5),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp2-023,required_hearts_counts_json_vs_reparsed,{},"{""blue"": 4, ""any"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp2-024,required_hearts_counts_json,<青> 6 <任意> 5 (合計11),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp2-024,required_hearts_counts_json_vs_reparsed,{},"{""blue"": 6, ""any"": 5}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp2-025,required_hearts_counts_json,<桃> 5 <任意> 2 (合計7),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp2-025,required_hearts_counts_json_vs_reparsed,{},"{""pink"": 5, ""any"": 2}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp2-026,required_hearts_counts_json,<桃> 7 <任意> 7 (合計14),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp2-026,required_hearts_counts_json_vs_reparsed,{},"{""pink"": 7, ""any"": 7}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp5-001,base_hearts_counts_json,<桃> 1 <緑> 2 <青> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp5-001,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""green"": 2, ""blue"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp5-002,base_hearts_counts_json,<桃> 1 <緑> 1 <青> 3 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp5-002,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""green"": 1, ""blue"": 3, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp5-003,base_hearts_counts_json,<桃> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp5-003,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp5-004,base_hearts_counts_json,<桃> 2 <黄> 1 <緑> 2 <青> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp5-004,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 2, ""yellow"": 1, ""green"": 2, ""blue"": 2}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp5-005,base_hearts_counts_json,<青> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp5-005,base_hearts_counts_json_vs_reparsed,{},"{""blue"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp5-006,base_hearts_counts_json,<桃> 1 <赤> 1 <緑> 1 <青> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp5-006,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""red"": 1, ""green"": 1, ""blue"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp5-007,base_hearts_counts_json,<桃> 1 <緑> 1 <青> 1 <紫> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp5-007,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""green"": 1, ""blue"": 1, ""purple"": 2}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp5-008,base_hearts_counts_json,<紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp5-008,base_hearts_counts_json_vs_reparsed,{},"{""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp5-009,base_hearts_counts_json,<緑> 1 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp5-009,base_hearts_counts_json_vs_reparsed,{},"{""green"": 1, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp5-010,base_hearts_counts_json,<桃> 1 <緑> 1 <青> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp5-010,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""green"": 1, ""blue"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp5-011,base_hearts_counts_json,<桃> 2 <緑> 2 <青> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp5-011,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 2, ""green"": 2, ""blue"": 2}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp5-012,base_hearts_counts_json,<桃> 1 <緑> 1 <青> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp5-012,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""green"": 1, ""blue"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp5-013,base_hearts_counts_json,<桃> 1 <緑> 1 <青> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp5-013,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""green"": 1, ""blue"": 2}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp5-014,base_hearts_counts_json,<桃>,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp5-014,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp5-015,base_hearts_counts_json,<紫> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp5-015,base_hearts_counts_json_vs_reparsed,{},"{""purple"": 2}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp5-016,base_hearts_counts_json,<緑> 1 <青> 1 <紫> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp5-016,base_hearts_counts_json_vs_reparsed,{},"{""green"": 1, ""blue"": 1, ""purple"": 2}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp5-017,required_hearts_counts_json,<任意> 8 (合計8),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp5-017,required_hearts_counts_json_vs_reparsed,{},"{""any"": 8}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp5-018,required_hearts_counts_json,<桃> 3 <緑> 3 <青> 3 <任意> 7 (合計16),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp5-018,required_hearts_counts_json_vs_reparsed,{},"{""pink"": 3, ""green"": 3, ""blue"": 3, ""any"": 7}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp5-019,required_hearts_counts_json,<緑> 9 <任意> 5 (合計14),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp5-019,required_hearts_counts_json_vs_reparsed,{},"{""green"": 9, ""any"": 5}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp5-020,required_hearts_counts_json,<青> 2 <任意> 1 (合計3),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp5-020,required_hearts_counts_json_vs_reparsed,{},"{""blue"": 2, ""any"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp5-021,required_hearts_counts_json,<桃> 10 (合計10),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp5-021,required_hearts_counts_json_vs_reparsed,{},"{""pink"": 10}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp5-022,required_hearts_counts_json,<桃> 1 <緑> 1 <青> 1 <紫> 5 <任意> 2 (合計10),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp5-022,required_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""green"": 1, ""blue"": 1, ""purple"": 5, ""any"": 2}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp6-001,base_hearts_counts_json,<緑> 1 <青> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp6-001,base_hearts_counts_json_vs_reparsed,{},"{""green"": 1, ""blue"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp6-002,base_hearts_counts_json,<緑> 1 <青> 2 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp6-002,base_hearts_counts_json_vs_reparsed,{},"{""green"": 1, ""blue"": 2, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp6-003,base_hearts_counts_json,<桃> 2 <青> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp6-003,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 2, ""blue"": 2}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp6-004,base_hearts_counts_json,<緑> 2 <青> 2 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp6-004,base_hearts_counts_json_vs_reparsed,{},"{""green"": 2, ""blue"": 2, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp6-005,base_hearts_counts_json,<桃> 1 <緑> 1 <青> 1 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp6-005,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""green"": 1, ""blue"": 1, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp6-006,base_hearts_counts_json,<桃> 6 <緑> 1 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp6-006,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 6, ""green"": 1, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp6-007,base_hearts_counts_json,<桃> 1 <緑> 1 <青> 1 <紫> 4,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp6-007,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""green"": 1, ""blue"": 1, ""purple"": 4}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp6-008,base_hearts_counts_json,<桃> 1 <緑> 1 <紫> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp6-008,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""green"": 1, ""purple"": 2}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp6-009,base_hearts_counts_json,<緑> 1 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp6-009,base_hearts_counts_json_vs_reparsed,{},"{""green"": 1, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp6-010,base_hearts_counts_json,<青> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp6-010,base_hearts_counts_json_vs_reparsed,{},"{""blue"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp6-011,base_hearts_counts_json,<緑> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp6-011,base_hearts_counts_json_vs_reparsed,{},"{""green"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp6-012,base_hearts_counts_json,<緑> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp6-012,base_hearts_counts_json_vs_reparsed,{},"{""green"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp6-013,base_hearts_counts_json,<桃> 1 <青> 2 <紫> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp6-013,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""blue"": 2, ""purple"": 2}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp6-014,base_hearts_counts_json,<桃> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp6-014,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp6-015,base_hearts_counts_json,<紫> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp6-015,base_hearts_counts_json_vs_reparsed,{},"{""purple"": 2}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp6-016,base_hearts_counts_json,<桃> 1 <緑> 1 <青> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp6-016,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""green"": 1, ""blue"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp6-017,base_hearts_counts_json,<桃> 1 <緑> 1 <青> 1 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp6-017,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""green"": 1, ""blue"": 1, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp6-018,base_hearts_counts_json,<青> 1 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp6-018,base_hearts_counts_json_vs_reparsed,{},"{""blue"": 1, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp6-019,base_hearts_counts_json,<桃> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp6-019,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 2}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp6-020,base_hearts_counts_json,<緑> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp6-020,base_hearts_counts_json_vs_reparsed,{},"{""green"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp6-021,base_hearts_counts_json,<桃> 1 <緑> 1 <青> 1 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp6-021,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""green"": 1, ""blue"": 1, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp6-022,base_hearts_counts_json,<桃> 2 <青> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp6-022,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 2, ""blue"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp6-023,base_hearts_counts_json,<桃> 1 <青> 1 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp6-023,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""blue"": 1, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp6-024,base_hearts_counts_json,<桃> 1 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp6-024,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp6-025,required_hearts_counts_json,<桃> 1 <緑> 1 <青> 4 <任意> 4 (合計10),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp6-025,required_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""green"": 1, ""blue"": 4, ""any"": 4}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp6-026,required_hearts_counts_json,<緑> 2 <紫> 2 <任意> 3 (合計7),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp6-026,required_hearts_counts_json_vs_reparsed,{},"{""green"": 2, ""purple"": 2, ""any"": 3}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp6-027,required_hearts_counts_json,<緑> 4 <青> 1 <紫> 1 <任意> 6 (合計12),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp6-027,required_hearts_counts_json_vs_reparsed,{},"{""green"": 4, ""blue"": 1, ""purple"": 1, ""any"": 6}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp6-028,required_hearts_counts_json,<青> 2 <紫> 1 <任意> 2 (合計5),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp6-028,required_hearts_counts_json_vs_reparsed,{},"{""blue"": 2, ""purple"": 1, ""any"": 2}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp6-029,required_hearts_counts_json,<緑> 1 <青> 4 <紫> 1 <任意> 6 (合計12),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp6-029,required_hearts_counts_json_vs_reparsed,{},"{""green"": 1, ""blue"": 4, ""purple"": 1, ""any"": 6}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp6-030,required_hearts_counts_json,<桃> 1 <緑> 1 <任意> 1 (合計3),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp6-030,required_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""green"": 1, ""any"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp6-031,required_hearts_counts_json,<桃> 8 <緑> 1 <青> 1 <紫> 1 <任意> 7 (合計18),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp6-031,required_hearts_counts_json_vs_reparsed,{},"{""pink"": 8, ""green"": 1, ""blue"": 1, ""purple"": 1, ""any"": 7}",S2,reparsed heart facts differ from source derived counts
PL!HS-bp6-032,required_hearts_counts_json,<緑> 1 <紫> 3 <任意> 1 (合計5),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-bp6-032,required_hearts_counts_json_vs_reparsed,{},"{""green"": 1, ""purple"": 3, ""any"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-cl1-001,base_hearts_counts_json,<青> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-cl1-001,base_hearts_counts_json_vs_reparsed,{},"{""blue"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-cl1-002,base_hearts_counts_json,<桃> 1 <青> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-cl1-002,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""blue"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-cl1-003,base_hearts_counts_json,<青> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-cl1-003,base_hearts_counts_json_vs_reparsed,{},"{""blue"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-cl1-004,base_hearts_counts_json,<緑> 1 <紫> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-cl1-004,base_hearts_counts_json_vs_reparsed,{},"{""green"": 1, ""purple"": 2}",S2,reparsed heart facts differ from source derived counts
PL!HS-cl1-005,base_hearts_counts_json,<青> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-cl1-005,base_hearts_counts_json_vs_reparsed,{},"{""blue"": 2}",S2,reparsed heart facts differ from source derived counts
PL!HS-cl1-006,base_hearts_counts_json,<桃> 1 <緑> 1 <青> 1 <紫> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-cl1-006,base_hearts_counts_json_vs_reparsed,{},"{""pink"": 1, ""green"": 1, ""blue"": 1, ""purple"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-cl1-007,base_hearts_counts_json,<青> 1 <紫> 2,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-cl1-007,base_hearts_counts_json_vs_reparsed,{},"{""blue"": 1, ""purple"": 2}",S2,reparsed heart facts differ from source derived counts
PL!HS-cl1-008,base_hearts_counts_json,<緑> 1,{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-cl1-008,base_hearts_counts_json_vs_reparsed,{},"{""green"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-cl1-009,required_hearts_counts_json,<緑> 1 <青> 1 <任意> 1 (合計3),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-cl1-009,required_hearts_counts_json_vs_reparsed,{},"{""green"": 1, ""blue"": 1, ""any"": 1}",S2,reparsed heart facts differ from source derived counts
PL!HS-cl1-010,required_hearts_counts_json,<青> 5 <任意> 3 (合計8),{},S2,raw heart exists but derived audit source counts empty; classify separately from runtime effect failure
PL!HS-cl1-010,required_hearts_counts_json_vs_reparsed,{},"{""blue"": 5, ""any"": 3}",S2,reparsed heart facts differ from source derived counts
