cardnumber,canonical_id,status,reproduction,expected,actual,family,common_fix_candidate,affected_files,priority,evidence
PL!S-PR-039,PL!S-PR-039#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_S_PR_039_A01; evidence/ui/PL_S_PR_039_A01; evidence/logs/PL_S_PR_039_A01.log; evidence/commands/PL_S_PR_039_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,success_zone_reference,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_S_PR_039_A01; evidence/ui/PL_S_PR_039_A01; evidence/logs/PL_S_PR_039_A01.log; evidence/commands/PL_S_PR_039_A01.command.sh
PL!S-bp2-001,PL!S-bp2-001#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_S_bp2_001_A01; evidence/ui/PL_S_bp2_001_A01; evidence/logs/PL_S_bp2_001_A01.log; evidence/commands/PL_S_bp2_001_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,success_zone_reference,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_S_bp2_001_A01; evidence/ui/PL_S_bp2_001_A01; evidence/logs/PL_S_bp2_001_A01.log; evidence/commands/PL_S_bp2_001_A01.command.sh
PL!S-bp3-006,PL!S-bp3-006#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_S_bp3_006_A01; evidence/ui/PL_S_bp3_006_A01; evidence/logs/PL_S_bp3_006_A01.log; evidence/commands/PL_S_bp3_006_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,hand_to_green / discard,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_S_bp3_006_A01; evidence/ui/PL_S_bp3_006_A01; evidence/logs/PL_S_bp3_006_A01.log; evidence/commands/PL_S_bp3_006_A01.command.sh
PL!S-bp3-016,PL!S-bp3-016#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_S_bp3_016_A01; evidence/ui/PL_S_bp3_016_A01; evidence/logs/PL_S_bp3_016_A01.log; evidence/commands/PL_S_bp3_016_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,success_zone_reference,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_S_bp3_016_A01; evidence/ui/PL_S_bp3_016_A01; evidence/logs/PL_S_bp3_016_A01.log; evidence/commands/PL_S_bp3_016_A01.command.sh
PL!S-bp6-002,PL!S-bp6-002#A01,TRIGGER_REACHED_RESOLVER_BLOCKED,evidence/state/PL_S_bp6_002_A01; evidence/ui/PL_S_bp6_002_A01; evidence/logs/PL_S_bp6_002_A01.log; evidence/commands/PL_S_bp6_002_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,Event-history trigger/hook family has no matching generic route for DB text.,deck_top_or_bottom_move,event ledger + resolver family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_S_bp6_002_A01; evidence/ui/PL_S_bp6_002_A01; evidence/logs/PL_S_bp6_002_A01.log; evidence/commands/PL_S_bp6_002_A01.command.sh
PL!S-bp6-003,PL!S-bp6-003#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_S_bp6_003_A01; evidence/ui/PL_S_bp6_003_A01; evidence/logs/PL_S_bp6_003_A01.log; evidence/commands/PL_S_bp6_003_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,energy_active_wait,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_S_bp6_003_A01; evidence/ui/PL_S_bp6_003_A01; evidence/logs/PL_S_bp6_003_A01.log; evidence/commands/PL_S_bp6_003_A01.command.sh
PL!S-bp6-009,PL!S-bp6-009#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_S_bp6_009_A01; evidence/ui/PL_S_bp6_009_A01; evidence/logs/PL_S_bp6_009_A01.log; evidence/commands/PL_S_bp6_009_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,success_zone_reference,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_S_bp6_009_A01; evidence/ui/PL_S_bp6_009_A01; evidence/logs/PL_S_bp6_009_A01.log; evidence/commands/PL_S_bp6_009_A01.command.sh
PL!S-bp7-006,PL!S-bp7-006#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_S_bp7_006_A01; evidence/ui/PL_S_bp7_006_A01; evidence/logs/PL_S_bp7_006_A01.log; evidence/commands/PL_S_bp7_006_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,live_start_temp_heart,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_S_bp7_006_A01; evidence/ui/PL_S_bp7_006_A01; evidence/logs/PL_S_bp7_006_A01.log; evidence/commands/PL_S_bp7_006_A01.command.sh
PL!S-bp7-015,PL!S-bp7-015#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_S_bp7_015_A01; evidence/ui/PL_S_bp7_015_A01; evidence/logs/PL_S_bp7_015_A01.log; evidence/commands/PL_S_bp7_015_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,deck_top_or_bottom_move,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_S_bp7_015_A01; evidence/ui/PL_S_bp7_015_A01; evidence/logs/PL_S_bp7_015_A01.log; evidence/commands/PL_S_bp7_015_A01.command.sh
PL!S-pb1-006,PL!S-pb1-006#A01,BLOCKED_BY_ENGINE_CAPABILITY,evidence/state/PL_S_pb1_006_A01; evidence/ui/PL_S_pb1_006_A01; evidence/logs/PL_S_pb1_006_A01.log; evidence/commands/PL_S_pb1_006_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,Effect needs opponent individual/member/live/hand state beyond current aggregate inputs.,hand_to_green / discard,engine capability design,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P3,evidence/state/PL_S_pb1_006_A01; evidence/ui/PL_S_pb1_006_A01; evidence/logs/PL_S_pb1_006_A01.log; evidence/commands/PL_S_pb1_006_A01.command.sh
PL!S-pb1-009,PL!S-pb1-009#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_S_pb1_009_A01; evidence/ui/PL_S_pb1_009_A01; evidence/logs/PL_S_pb1_009_A01.log; evidence/commands/PL_S_pb1_009_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,success_zone_reference,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_S_pb1_009_A01; evidence/ui/PL_S_pb1_009_A01; evidence/logs/PL_S_pb1_009_A01.log; evidence/commands/PL_S_pb1_009_A01.command.sh
PL!SP-bp2-008,PL!SP-bp2-008#A01,UI_ROUTE_MISSING,evidence/state/PL_SP_bp2_008_A01; evidence/ui/PL_SP_bp2_008_A01; evidence/logs/PL_SP_bp2_008_A01.log; evidence/commands/PL_SP_bp2_008_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,Activated ability did not expose a normal activate route in stage_detail for designed setup.,position / active_wait,server/engine activated route,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P1,evidence/state/PL_SP_bp2_008_A01; evidence/ui/PL_SP_bp2_008_A01; evidence/logs/PL_SP_bp2_008_A01.log; evidence/commands/PL_SP_bp2_008_A01.command.sh
PL!SP-bp2-010,PL!SP-bp2-010#A01,BLOCKED_BY_ENGINE_CAPABILITY,evidence/state/PL_SP_bp2_010_A01; evidence/ui/PL_SP_bp2_010_A01; evidence/logs/PL_SP_bp2_010_A01.log; evidence/commands/PL_SP_bp2_010_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,Effect needs opponent individual/member/live/hand state beyond current aggregate inputs.,live_start_required_heart,engine capability design,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P3,evidence/state/PL_SP_bp2_010_A01; evidence/ui/PL_SP_bp2_010_A01; evidence/logs/PL_SP_bp2_010_A01.log; evidence/commands/PL_SP_bp2_010_A01.command.sh
PL!SP-bp4-003,PL!SP-bp4-003#A02,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_SP_bp4_003_A02; evidence/ui/PL_SP_bp4_003_A02; evidence/logs/PL_SP_bp4_003_A02.log; evidence/commands/PL_SP_bp4_003_A02.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,continuous_attribute,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_SP_bp4_003_A02; evidence/ui/PL_SP_bp4_003_A02; evidence/logs/PL_SP_bp4_003_A02.log; evidence/commands/PL_SP_bp4_003_A02.command.sh
PL!SP-bp4-009,PL!SP-bp4-009#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_SP_bp4_009_A01; evidence/ui/PL_SP_bp4_009_A01; evidence/logs/PL_SP_bp4_009_A01.log; evidence/commands/PL_SP_bp4_009_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,continuous_attribute,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_SP_bp4_009_A01; evidence/ui/PL_SP_bp4_009_A01; evidence/logs/PL_SP_bp4_009_A01.log; evidence/commands/PL_SP_bp4_009_A01.command.sh
PL!SP-bp4-016,PL!SP-bp4-016#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_SP_bp4_016_A01; evidence/ui/PL_SP_bp4_016_A01; evidence/logs/PL_SP_bp4_016_A01.log; evidence/commands/PL_SP_bp4_016_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,energy_active_wait,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_SP_bp4_016_A01; evidence/ui/PL_SP_bp4_016_A01; evidence/logs/PL_SP_bp4_016_A01.log; evidence/commands/PL_SP_bp4_016_A01.command.sh
PL!SP-bp7-005,PL!SP-bp7-005#A01,TRIGGER_REACHED_RESOLVER_BLOCKED,evidence/state/PL_SP_bp7_005_A01; evidence/ui/PL_SP_bp7_005_A01; evidence/logs/PL_SP_bp7_005_A01.log; evidence/commands/PL_SP_bp7_005_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,Event-history trigger/hook family has no matching generic route for DB text.,energy_active_wait,event ledger + resolver family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_SP_bp7_005_A01; evidence/ui/PL_SP_bp7_005_A01; evidence/logs/PL_SP_bp7_005_A01.log; evidence/commands/PL_SP_bp7_005_A01.command.sh
PL!SP-bp7-005,PL!SP-bp7-005#A02,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_SP_bp7_005_A02; evidence/ui/PL_SP_bp7_005_A02; evidence/logs/PL_SP_bp7_005_A02.log; evidence/commands/PL_SP_bp7_005_A02.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,energy_active_wait,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_SP_bp7_005_A02; evidence/ui/PL_SP_bp7_005_A02; evidence/logs/PL_SP_bp7_005_A02.log; evidence/commands/PL_SP_bp7_005_A02.command.sh
PL!SP-bp7-025,PL!SP-bp7-025#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_SP_bp7_025_A01; evidence/ui/PL_SP_bp7_025_A01; evidence/logs/PL_SP_bp7_025_A01.log; evidence/commands/PL_SP_bp7_025_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,live_start_temp_blade,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_SP_bp7_025_A01; evidence/ui/PL_SP_bp7_025_A01; evidence/logs/PL_SP_bp7_025_A01.log; evidence/commands/PL_SP_bp7_025_A01.command.sh
PL!SP-pb2-006,PL!SP-pb2-006#A02,TRIGGER_REACHED_RESOLVER_BLOCKED,evidence/state/PL_SP_pb2_006_A02; evidence/ui/PL_SP_pb2_006_A02; evidence/logs/PL_SP_pb2_006_A02.log; evidence/commands/PL_SP_pb2_006_A02.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,Event-history trigger/hook family has no matching generic route for DB text.,position / active_wait,event ledger + resolver family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_SP_pb2_006_A02; evidence/ui/PL_SP_pb2_006_A02; evidence/logs/PL_SP_pb2_006_A02.log; evidence/commands/PL_SP_pb2_006_A02.command.sh
PL!SP-pb2-022,PL!SP-pb2-022#A01,TRIGGER_REACHED_RESOLVER_BLOCKED,evidence/state/PL_SP_pb2_022_A01; evidence/ui/PL_SP_pb2_022_A01; evidence/logs/PL_SP_pb2_022_A01.log; evidence/commands/PL_SP_pb2_022_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,Event-history trigger/hook family has no matching generic route for DB text.,position / active_wait,event ledger + resolver family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_SP_pb2_022_A01; evidence/ui/PL_SP_pb2_022_A01; evidence/logs/PL_SP_pb2_022_A01.log; evidence/commands/PL_SP_pb2_022_A01.command.sh
PL!SP-pb2-035,PL!SP-pb2-035#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_SP_pb2_035_A01; evidence/ui/PL_SP_pb2_035_A01; evidence/logs/PL_SP_pb2_035_A01.log; evidence/commands/PL_SP_pb2_035_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,continuous_attribute,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_SP_pb2_035_A01; evidence/ui/PL_SP_pb2_035_A01; evidence/logs/PL_SP_pb2_035_A01.log; evidence/commands/PL_SP_pb2_035_A01.command.sh
PL!SP-pb2-041,PL!SP-pb2-041#A01,GENERIC_ROUTE_TEXT_NOT_MATCHED,evidence/state/PL_SP_pb2_041_A01; evidence/ui/PL_SP_pb2_041_A01; evidence/logs/PL_SP_pb2_041_A01.log; evidence/commands/PL_SP_pb2_041_A01.command.sh,Effect reaches trigger/matcher/resolver route with valid setup and applies documented state/UI behavior.,DB text did not match existing exact/normalized/fragment/generic matchers; not marked NOT_IMPLEMENTED without dedicated resolver audit.,continuous_attribute,generic matcher family,llocg_ui/engine.py; llocg_ui/server.py; llocg_ui/effects/registry.py; llocg_ui/effects/*,P2,evidence/state/PL_SP_pb2_041_A01; evidence/ui/PL_SP_pb2_041_A01; evidence/logs/PL_SP_pb2_041_A01.log; evidence/commands/PL_SP_pb2_041_A01.command.sh
