original_audit_id,canonical_id,cardnumber,cardname,trigger,effect_text,previous_status,previous_reason,source_file,card_type,group,unit,cost,score,required_hearts,db_effect_text,db_match
PL!S-pb1-006#A01,PL!S-pb1-006#A01,PL!S-pb1-006,津島善子,起動,手札のライブカードを1枚公開する：相手は手札を1枚控え室に置いてもよい。そうしなかった場合、ライブ終了時まで、<(ブレード)><(ブレード)><(ブレード)><(ブレード)>を得る。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,Aqours,Guilty Kiss,9.0,,0,"手札のライブカードを1枚公開する：相手は手札を1枚控え室に置いてもよい。そうしなかった場合、ライブ終了時まで、<(ブレード)><(ブレード)><(ブレード)><(ブレード)>
を得る。",true
PL!S-pb1-009#A01,PL!S-pb1-009#A01,PL!S-pb1-009,黒澤ルビィ,常時,自分と相手の成功ライブカード置き場にカードが合計3枚以上ある場合、<(ブレード)><(ブレード)><(ブレード)>を得る。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,Aqours,CYaRon!,11.0,,0,"自分と相手の成功ライブカード置き場にカードが合計3枚以上ある場合、<(ブレード)><(ブレード)><(ブレード)>
を得る。",true
PL!SP-bp1-001#A01,PL!SP-bp1-001#A01,PL!SP-bp1-001,澁谷かのん,常時,自分のステージにほかのメンバーがいない場合、自分はライブできない。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,Liella!,CatChu!,9.0,,0,自分のステージにほかのメンバーがいない場合、自分はライブできない。,true
PL!SP-bp2-008#A01,PL!SP-bp2-008#A01,PL!SP-bp2-008,若菜四季,起動,<(E)>：このメンバーがいるエリアとは別の自分のエリア1つを選ぶ。このメンバーをそのエリアに移動する。選んだエリアにメンバーがいる場合、そのメンバーは、このメンバーがいたエリアに移動させる。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,Liella!,5yncri5e!,9.0,,0,<(E)>：このメンバーがいるエリアとは別の自分のエリア1つを選ぶ。このメンバーをそのエリアに移動する。選んだエリアにメンバーがいる場合、そのメンバーは、このメンバーがいたエリアに移動させる。,true
PL!SP-bp2-010#A01,PL!SP-bp2-010#A01,PL!SP-bp2-010,ウィーン・マルガレーテ,常時,相手のライブカード置き場にあるすべてのライブカードは、成功させるための必要ハートが<任意>多くなる。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,Liella!,KALEIDOSCORE,15.0,,0,"相手のライブカード置き場にあるすべてのライブカードは、成功させるための必要ハートが
<任意>
多くなる。",true
PL!SP-bp4-003#A02,PL!SP-bp4-003#A02,PL!SP-bp4-003,嵐千砂都,常時,<(ブレード)><(ブレード)>を得る。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,Liella!,5yncri5e!,7.0,,0,<(ブレード)><(ブレード)>を得る。,true
PL!SP-bp4-009#A01,PL!SP-bp4-009#A01,PL!SP-bp4-009,鬼塚夏美,常時,自分のステージにいるメンバーのコストが相手より低いかぎり、<(ブレード)><(ブレード)><(ブレード)>を得る。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,Liella!,5yncri5e!,9.0,,0,"自分のステージにいるメンバーのコストが相手より低いかぎり、<(ブレード)><(ブレード)><(ブレード)>
を得る。",true
PL!SP-bp4-016#A01,PL!SP-bp4-016#A01,PL!SP-bp4-016,葉月恋,BODY,カードの効果で自分のエネルギー置き場にエネルギーカードが置かれるたび、ライブ終了時まで、<紫>を得る。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,Liella!,KALEIDOSCORE,9.0,,0,"カードの効果で自分のエネルギー置き場にエネルギーカードが置かれるたび、ライブ終了時まで、<紫>
を得る。",true
PL!SP-bp7-005#A01,PL!SP-bp7-005#A01,PL!SP-bp7-005,葉月恋,BODY,このメンバーが登場するか、自分のエネルギーがエネルギー置き場からエネロキーデッキに置かれたとき、自分のエネルギーデッキから、エネルギーカードを1枚ウェイト状態で置く。そのエネルギーカードは、次のターンのアクティブフェイズにアクティブしない。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,Liella!,KALEIDOSCORE,9,,,このメンバーが登場するか、自分のエネルギーがエネルギー置き場からエネロキーデッキに置かれたとき、自分のエネルギーデッキから、エネルギーカードを1枚ウェイト状態で置く。そのエネルギーカードは、次のターンのアクティブフェイズにアクティブしない。,true
PL!SP-bp7-005#A02,PL!SP-bp7-005#A02,PL!SP-bp7-005,葉月恋,BODY,自分のカードの効果によって、自分のエネルギー置き場にエネルギーが置かれたとき、ライブ終了時まで、<(ブレード)>を得る。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,Liella!,KALEIDOSCORE,9,,,"自分のカードの効果によって、自分のエネルギー置き場にエネルギーが置かれたとき、ライブ終了時まで、<(ブレード)>
を得る。",true
PL!SP-bp7-025#A01,PL!SP-bp7-025#A01,PL!SP-bp7-025,Memories,ライブ開始時,ライブ終了時まで、自分のステージにいる「嵐千砂都」1人は<(ブレード)>を得る。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,LIVE,Liella!,,,3,7,ライブ終了時まで、自分のステージにいる「嵐千砂都」1人は<(ブレード)>を得る。,true
PL!SP-pb2-006#A02,PL!SP-pb2-006#A02,PL!SP-pb2-006,桜小路きな子,BODY,自分のライブが成功するか、このメンバーがエリアを移動したとき、自分の控室にある『Liella!』のメンバーカードを1枚、このメンバーの下に置く。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,Liella!,5yncri5e!,2.0,,0,自分のライブが成功するか、このメンバーがエリアを移動したとき、自分の控室にある『Liella!』のメンバーカードを1枚、このメンバーの下に置く。,true
PL!SP-pb2-022#A01,PL!SP-pb2-022#A01,PL!SP-pb2-022,鬼塚冬毬,BODY,自分のステージにいる『5yncri5e!』のメンバーがセンターエリアに移動したとき、ライブ終了時まで、<(ブレード)><(ブレード)><(ブレード)><(ブレード)>を得る。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,Liella!,5yncri5e!,15.0,,0,"自分のステージにいる『5yncri5e!』のメンバーがセンターエリアに移動したとき、ライブ終了時まで、<(ブレード)><(ブレード)><(ブレード)><(ブレード)>
を得る。",true
PL!SP-pb2-035#A01,PL!SP-pb2-035#A01,PL!SP-pb2-035,唐可可,常時,<(ブレード)><(ブレード)>を得る。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,Liella!,5yncri5e!,9.0,,0,<(ブレード)><(ブレード)>を得る。,true
PL!SP-pb2-041#A01,PL!SP-pb2-041#A01,PL!SP-pb2-041,若菜四季,常時,<(ブレード)><(ブレード)>を得る。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,MEMBER,Liella!,5yncri5e!,9.0,,0,<(ブレード)><(ブレード)>を得る。,true
PL!SP-pb2-046#A01,PL!SP-pb2-046#A01,PL!SP-pb2-046,Butterfly Wing,常時,自分のステージにいるメンバーが持つ<ライブ開始時>能力は発動しない。,GENERIC_ROUTE_TEXT_NOT_MATCHED,GENERIC_ROUTE_UNRESOLVED,_codex_outputs/effect_full_audit_phase4_final_correction_20260716/backlog/research_backlog_final.csv,LIVE,,,,2.0,6,"自分のステージにいるメンバーが持つ
<ライブ開始時>
能力は発動しない。",true
