canonical_id,cardnumber,cardname,trigger,effect_text,ability_summary,condition_type,positive_condition,negative_condition_removed,source_zone,target_zone,required_stage_L,required_stage_C,required_stage_R,required_hand,required_green,required_deck_order,required_success_zone,required_live_cards,required_energy_active,required_energy_wait,required_opponent_wait_count,required_opponent_success_count,required_opponent_score,required_history,required_attached_energy,expected_pending_sequence,expected_effect_delta,expected_cleanup_point,undo_expected,ui_required,manual_review_status,manual_review_notes
PL!S-bp2-001#A01,PL!S-bp2-001,高海千歌,常時,自分の成功ライブカード置き場のカードが0枚で、かつ相手の成功ライブカード置き場にカードが1枚以上ある場合、<(ブレード)><(ブレード)><(ブレード)>を得る。,opponent success-zone aggregate value affects this continuous modifier,opponent_success_count_or_score,opponent aggregate success count/score satisfies threshold or exceeds own value,opponent aggregate value is set below threshold/equal,stage C,stage / live / green depending on text,,PL!S-bp2-001,,,,,,,,,,2,6 or larger when score threshold is referenced,,,,blade or live score bonus equals threshold text,not_applicable_continuous,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=opponent_reference; no shared setup template copied.
PL!S-bp3-006#A01,PL!S-bp3-006,津島善子,起動,このメンバーをウェイトにし、手札を1枚控え室に置く：このメンバー以外の『Aqours』のメンバー1人を自分のステージから控え室に置く。そうした場合、自分の控え室から、そのメンバーのコストに2を足した数に等しいコストの『Aqours』のメンバーカードを1枚、そのメンバーがいたエリアに登場させる。,activated ability with explicit card-specific cost and pending resolution,activation_cost_and_targets,"source on stage C, listed cost resources and likely targets are present",remove hand cost or active energy needed by cost,stage C,stage / live / green depending on text,,PL!S-bp3-006,,"PL!N-bp3-009,PL!N-bp1-029","PL!N-bp1-029,PL!N-bp3-009,PL!S-bp2-026",,,,40,,,,,,,activate_to_green -> cost pending if any -> target/effect pending until empty,specific effect text must change target active/wait/zone/hand as written,depends on temporary effect; otherwise resolution end,true,true,DESIGNED_NOT_RUN,Designed from card text; family=activated; no shared setup template copied.
PL!S-bp3-016#A01,PL!S-bp3-016,国木田花丸,常時,自分の成功ライブカード置き場にあるカード1枚につき、ステージにいるこのメンバーのコストを+1する。,success zone card count increases this member effective cost by that count,own_success_zone_count,own success zone has exactly 2 live cards,remove one success-zone live card so count is 1,stage C,stage / live / green depending on text,,PL!S-bp3-016,,,,,"PL!N-bp1-029,PL!N-bp3-032",,,,,,,,,,effective_cost positive 6 vs negative 5,not_applicable_continuous,undo_not_applicable_when positive/negative are separate initial states,false,PILOT_SELECTED,Designed from card text; family=success_zone_reference; no shared setup template copied.
PL!S-bp6-002#A01,PL!S-bp6-002,桜内梨子,BODY,『Aqours』のライブカードが自分のライブカード置き場から控え室に置かれたとき、そのライブカードをデッキの一番上か一番下に置いてもよい。,individual setup derived from text: 『Aqours』のライブカードが自分のライブカード置き場から控え室に置かれたとき、そのライブカー,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!S-bp6-002,,,,,,,,,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,true,DESIGNED_NOT_RUN,Designed from card text; family=other; no shared setup template copied.
PL!S-bp6-003#A01,PL!S-bp6-003,松浦果南,起動,"<(E)><(E)>,手札を1枚控え室に置く：このメンバー以外の『Aqours』のメンバー1人を自分のステージから控え室に置いてもよい。そうした場合、自分の控え室から、そのメンバーのコストに2を足した数に等しいコストの『Aqours』のメンバーカードを1枚、そのメンバーがいたエリアに登場させる。",activated ability with explicit card-specific cost and pending resolution,activation_cost_and_targets,"source on stage C, listed cost resources and likely targets are present",remove hand cost or active energy needed by cost,stage C,stage / live / green depending on text,,PL!S-bp6-003,,"PL!N-bp3-009,PL!N-bp1-029","PL!N-bp1-029,PL!N-bp3-009,PL!S-bp2-026",,,,40,,,,,,,activate_to_green -> cost pending if any -> target/effect pending until empty,specific effect text must change target active/wait/zone/hand as written,depends on temporary effect; otherwise resolution end,true,true,DESIGNED_NOT_RUN,Designed from card text; family=activated; no shared setup template copied.
PL!S-bp6-009#A01,PL!S-bp6-009,黒澤ルビィ,常時,相手の成功ライブカード置き場にあるカードの枚数が自分より多いかぎり、その差に等しい数の<(ブレード)>を得る。,opponent success-zone aggregate value affects this continuous modifier,opponent_success_count_or_score,opponent aggregate success count/score satisfies threshold or exceeds own value,opponent aggregate value is set below threshold/equal,stage C,stage / live / green depending on text,,PL!S-bp6-009,,,,,,,,,,2,6 or larger when score threshold is referenced,,,,blade or live score bonus equals threshold text,not_applicable_continuous,undo_not_applicable_when positive/negative are separate initial states,false,PILOT_SELECTED,Designed from card text; family=opponent_reference; no shared setup template copied.
PL!S-bp7-006#A01,PL!S-bp7-006,津島善子,ライブ開始時,自分のデッキの下からカードを3枚控え室に置く。それらがすべて『Aqours』のメンバーカードの場合、ライブ終了時まで、<緑>を得る。,live-start ability must be queued from stage source and resolved from auto-order,live_start_trigger,"source is on stage C, one live card is set from hand, deck order supports effect text",do not set a live card from hand,stage C member during live confirm,stage / live / green depending on text,,PL!S-bp7-006,,PL!N-bp1-029,,dummy draw card on top; bottom cards chosen to satisfy or fail source condition,,PL!N-bp1-029,,,,,,,,LIVE_SET -> LIVE_CONFIRM -> auto_order/source pending -> target/optional pending -> LIVE_PERF,temporary heart/blade/score described by source text,live end,true,true,PILOT_SELECTED,Designed from card text; family=live_start; no shared setup template copied.
PL!S-bp7-015#A01,PL!S-bp7-015,津島善子,常時,自分のデッキの下からカードを1枚控え室に置く。それがライブカードの場合、ライブ終了時まで、<赤>を得る。,individual setup derived from text: 自分のデッキの下からカードを1枚控え室に置く。それがライブカードの場合、ライブ終了時まで、<赤>,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!S-bp7-015,,,,,,,,,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=other; no shared setup template copied.
PL!S-pb1-006#A01,PL!S-pb1-006,津島善子,起動,手札のライブカードを1枚公開する：相手は手札を1枚控え室に置いてもよい。そうしなかった場合、ライブ終了時まで、<(ブレード)><(ブレード)><(ブレード)><(ブレード)>を得る。,activated ability with explicit card-specific cost and pending resolution,activation_cost_and_targets,"source on stage C, listed cost resources and likely targets are present",remove hand cost or active energy needed by cost,stage C,stage / live / green depending on text,,PL!S-pb1-006,,"PL!N-bp3-009,PL!N-bp1-029","PL!N-bp1-029,PL!N-bp3-009,PL!S-bp2-026",,,,40,,,,,,,activate_to_green -> cost pending if any -> target/effect pending until empty,specific effect text must change target active/wait/zone/hand as written,depends on temporary effect; otherwise resolution end,true,true,DESIGNED_NOT_RUN,Designed from card text; family=activated; no shared setup template copied.
PL!S-pb1-009#A01,PL!S-pb1-009,黒澤ルビィ,常時,自分と相手の成功ライブカード置き場にカードが合計3枚以上ある場合、<(ブレード)><(ブレード)><(ブレード)>を得る。,opponent success-zone aggregate value affects this continuous modifier,opponent_success_count_or_score,opponent aggregate success count/score satisfies threshold or exceeds own value,opponent aggregate value is set below threshold/equal,stage C,stage / live / green depending on text,,PL!S-pb1-009,,,,,,,,,,2,6 or larger when score threshold is referenced,,,,blade or live score bonus equals threshold text,not_applicable_continuous,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=opponent_reference; no shared setup template copied.
PL!SP-bp1-001#A01,PL!SP-bp1-001,澁谷かのん,常時,自分のステージにほかのメンバーがいない場合、自分はライブできない。,live cannot be started while this member has no other allied stage member,stage_member_count,source is alone on stage,add another member to side stage,stage C,stage / live / green depending on text,,PL!SP-bp1-001,,,,,,PL!N-bp1-029 in hand for live set,,,,,,,,,live confirm sends set live to green / no LIVE_PERF,live resolution,undo_not_applicable_when positive/negative are separate initial states,false,PILOT_SELECTED,Designed from card text; family=other; no shared setup template copied.
PL!SP-bp2-008#A01,PL!SP-bp2-008,若菜四季,起動,<(E)>：このメンバーがいるエリアとは別の自分のエリア1つを選ぶ。このメンバーをそのエリアに移動する。選んだエリアにメンバーがいる場合、そのメンバーは、このメンバーがいたエリアに移動させる。,activated ability with explicit card-specific cost and pending resolution,activation_cost_and_targets,"source on stage C, listed cost resources and likely targets are present",remove hand cost or active energy needed by cost,stage C,stage / live / green depending on text,,PL!SP-bp2-008,,"PL!N-bp3-009,PL!N-bp1-029","PL!N-bp1-029,PL!N-bp3-009,PL!S-bp2-026",,,,40,,,,,,,activate_to_green -> cost pending if any -> target/effect pending until empty,specific effect text must change target active/wait/zone/hand as written,depends on temporary effect; otherwise resolution end,true,true,PILOT_SELECTED,Designed from card text; family=activated; no shared setup template copied.
PL!SP-bp2-010#A01,PL!SP-bp2-010,ウィーン・マルガレーテ,常時,相手のライブカード置き場にあるすべてのライブカードは、成功させるための必要ハートが<任意>多くなる。,individual setup derived from text: 相手のライブカード置き場にあるすべてのライブカードは、成功させるための必要ハートが<任意>多くな,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!SP-bp2-010,,,,,,,,,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=opponent_reference; no shared setup template copied.
PL!SP-bp4-003#A02,PL!SP-bp4-003,嵐千砂都,常時,<(ブレード)><(ブレード)>を得る。,unconditional continuous blade +2 while source is on stage,source_on_stage,source card is on stage C,replace source card with a dummy member,stage C,stage / live / green depending on text,,PL!SP-bp4-003,,,,,,,,,,,,,,,always_blade_bonus +2 on source slot,not_applicable_continuous,undo_not_applicable_when positive/negative are separate initial states,false,PILOT_SELECTED,Designed from card text; family=blade_continuous; no shared setup template copied.
PL!SP-bp4-009#A01,PL!SP-bp4-009,鬼塚夏美,常時,自分のステージにいるメンバーのコストが相手より低いかぎり、<(ブレード)><(ブレード)><(ブレード)>を得る。,individual setup derived from text: 自分のステージにいるメンバーのコストが相手より低いかぎり、<(ブレード)><(ブレード)><(ブ,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!SP-bp4-009,,,,,,,,,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=opponent_reference; no shared setup template copied.
PL!SP-bp4-016#A01,PL!SP-bp4-016,葉月恋,BODY,カードの効果で自分のエネルギー置き場にエネルギーカードが置かれるたび、ライブ終了時まで、<紫>を得る。,individual setup derived from text: カードの効果で自分のエネルギー置き場にエネルギーカードが置かれるたび、ライブ終了時まで、<紫>を,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!SP-bp4-016,,,,,,,40,3,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=energy_or_attached; no shared setup template copied.
PL!SP-bp7-005#A01,PL!SP-bp7-005,葉月恋,BODY,このメンバーが登場するか、自分のエネルギーがエネルギー置き場からエネロキーデッキに置かれたとき、自分のエネルギーデッキから、エネルギーカードを1枚ウェイト状態で置く。そのエネルギーカードは、次のターンのアクティブフェイズにアクティブしない。,individual setup derived from text: このメンバーが登場するか、自分のエネルギーがエネルギー置き場からエネロキーデッキに置かれたとき、,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!SP-bp7-005,,,,,,,40,3,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=entry_or_baton_history; no shared setup template copied.
PL!SP-bp7-005#A02,PL!SP-bp7-005,葉月恋,BODY,自分のカードの効果によって、自分のエネルギー置き場にエネルギーが置かれたとき、ライブ終了時まで、<(ブレード)>を得る。,individual setup derived from text: 自分のカードの効果によって、自分のエネルギー置き場にエネルギーが置かれたとき、ライブ終了時まで、,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!SP-bp7-005,,,,,,,40,3,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=energy_or_attached; no shared setup template copied.
PL!SP-bp7-025#A01,PL!SP-bp7-025,Memories,ライブ開始時,ライブ終了時まで、自分のステージにいる「嵐千砂都」1人は<(ブレード)>を得る。,live-start ability must be queued from stage source and resolved from auto-order,live_start_trigger,"source is on stage C, one live card is set from hand, deck order supports effect text",do not set a live card from hand,stage C member during live confirm,stage / live / green depending on text,,PL!SP-bp7-025,,PL!N-bp1-029,,dummy draw card on top; bottom cards chosen to satisfy or fail source condition,,PL!N-bp1-029,,,,,,,,LIVE_SET -> LIVE_CONFIRM -> auto_order/source pending -> target/optional pending -> LIVE_PERF,temporary heart/blade/score described by source text,live end,true,true,PILOT_SELECTED,Designed from card text; family=live_start; no shared setup template copied.
PL!SP-pb2-006#A02,PL!SP-pb2-006,桜小路きな子,BODY,自分のライブが成功するか、このメンバーがエリアを移動したとき、自分の控室にある『Liella!』のメンバーカードを1枚、このメンバーの下に置く。,individual setup derived from text: 自分のライブが成功するか、このメンバーがエリアを移動したとき、自分の控室にある『Liella!』,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!SP-pb2-006,,,,,,,,,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=energy_or_attached; no shared setup template copied.
PL!SP-pb2-022#A01,PL!SP-pb2-022,鬼塚冬毬,BODY,自分のステージにいる『5yncri5e!』のメンバーがセンターエリアに移動したとき、ライブ終了時まで、<(ブレード)><(ブレード)><(ブレード)><(ブレード)>を得る。,individual setup derived from text: 自分のステージにいる『5yncri5e!』のメンバーがセンターエリアに移動したとき、ライブ終了時,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!SP-pb2-022,,,,,,,,,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=blade_continuous; no shared setup template copied.
PL!SP-pb2-035#A01,PL!SP-pb2-035,唐可可,常時,<(ブレード)><(ブレード)>を得る。,unconditional continuous blade +2 while source is on stage,source_on_stage,source card is on stage C,replace source card with a dummy member,stage C,stage / live / green depending on text,,PL!SP-pb2-035,,,,,,,,,,,,,,,always_blade_bonus +2 on source slot,not_applicable_continuous,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=blade_continuous; no shared setup template copied.
PL!SP-pb2-041#A01,PL!SP-pb2-041,若菜四季,常時,<(ブレード)><(ブレード)>を得る。,unconditional continuous blade +2 while source is on stage,source_on_stage,source card is on stage C,replace source card with a dummy member,stage C,stage / live / green depending on text,,PL!SP-pb2-041,,,,,,,,,,,,,,,always_blade_bonus +2 on source slot,not_applicable_continuous,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=blade_continuous; no shared setup template copied.
PL!SP-pb2-046#A01,PL!SP-pb2-046,Butterfly Wing,常時,自分のステージにいるメンバーが持つ<ライブ開始時>能力は発動しない。,individual setup derived from text: 自分のステージにいるメンバーが持つ<ライブ開始時>能力は発動しない。,text_specific,prepare the exact named group/unit/card/count/color/event stated in effect text,remove only that named group/unit/card/count/color/event prerequisite,stage C,stage / live / green depending on text,,PL!SP-pb2-046,,,,,,,,,,,,,,,apply the numeric move/draw/blade/heart/score/cost delta explicitly stated in effect text,live end if temporary; otherwise resolution or not applicable,undo_not_applicable_when positive/negative are separate initial states,false,DESIGNED_NOT_RUN,Designed from card text; family=other; no shared setup template copied.
