original_audit_id,canonical_audit_id,mapping_type,cardnumber,canonical_trigger,canonical_effect_text,reason,evidence
PL!SP-bp1-001#A01,PL!SP-bp1-001#A01,CANONICAL,PL!SP-bp1-001,常時,自分のステージにほかのメンバーがいない場合、自分はライブできない。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!SP-bp1-003#A01,PL!SP-bp1-003#A01,CANONICAL,PL!SP-bp1-003,起動,手札にあるメンバーカードを好きな枚数公開する：公開したカードのコストの合計が、10、20、30、40、50のいずれかの場合、ライブ終了時まで、「<常時>ライブの合計スコアを+1する。」を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!SP-bp1-004#A01,PL!SP-bp1-004#A01,CANONICAL,PL!SP-bp1-004,常時,ステージのセンターエリアにいる場合、<(ブレード)><(ブレード)><(ブレード)><(ブレード)><(ブレード)>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!SP-bp2-001#A02,PL!SP-bp2-001#A02,CANONICAL,PL!SP-bp2-001,登場,自分のステージにいる『Liella!』メンバー1人のすべての<ライブ開始時>能力を、ライブ終了時まで、無効にしてもよい。これにより無効にした場合、自分の控え室から『Liella!』のカードを1枚手札に加える。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!SP-bp2-004#A01,PL!SP-bp2-004#A01,CANONICAL,PL!SP-bp2-004,常時,自分のステージにいるメンバーのうち、センターエリアにいるメンバーが最も大きいコストを持つ場合、<黄>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!SP-bp2-006#A03,PL!SP-bp2-006#A03,CANONICAL,PL!SP-bp2-006,登場,バトンタッチして登場した場合、このバトンタッチで控え室に置かれた『Liella!』のメンバーカードを1枚手札に加える。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!SP-bp2-008#A01,PL!SP-bp2-008#A01,CANONICAL,PL!SP-bp2-008,起動,<(E)>：このメンバーがいるエリアとは別の自分のエリア1つを選ぶ。このメンバーをそのエリアに移動する。選んだエリアにメンバーがいる場合、そのメンバーは、このメンバーがいたエリアに移動させる。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!SP-bp2-010#A01,PL!SP-bp2-010#A01,CANONICAL,PL!SP-bp2-010,常時,相手のライブカード置き場にあるすべてのライブカードは、成功させるための必要ハートが<任意>多くなる。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!SP-bp4-003#A02,PL!SP-bp4-003#A02,CANONICAL,PL!SP-bp4-003,常時,<(ブレード)><(ブレード)>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!SP-bp4-004#A01,PL!SP-bp4-004#A01,CANONICAL,PL!SP-bp4-004,常時,このカードのプレイに際し、2人のメンバーとバトンタッチしてもよい。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!SP-bp4-009#A01,PL!SP-bp4-009#A01,CANONICAL,PL!SP-bp4-009,常時,自分のステージにいるメンバーのコストが相手より低いかぎり、<(ブレード)><(ブレード)><(ブレード)>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!SP-bp4-016#A01,PL!SP-bp4-016#A01,CANONICAL,PL!SP-bp4-016,BODY,カードの効果で自分のエネルギー置き場にエネルギーカードが置かれるたび、ライブ終了時まで、<紫>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!SP-bp4-021#A01,PL!SP-bp4-021#A01,CANONICAL,PL!SP-bp4-021,常時,自分のエネルギーが相手より多いかぎり、<紫>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!SP-bp5-003#A01,PL!SP-bp5-003#A01,CANONICAL,PL!SP-bp5-003,常時,コスト10の『Liella!』のメンバーカードを自分の手札から登場させるためのコストは2減る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!SP-bp5-005#A02,PL!SP-bp5-005#A02,CANONICAL,PL!SP-bp5-005,BODY,自分のメインフェイズの際、自分のカードが1枚以上いずれかの領域から控え室に置かれるたび、<(E)>支払ってもよい。そうした場合、それらのカードの中から1枚手札に加える。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!SP-bp5-005#A01,PL!SP-bp5-005#A01,CANONICAL,PL!SP-bp5-005,起動,デッキの上からカードを3枚控え室に置く：ライブ終了時まで、これにより控え室に置いた『Liella!』のメンバーカード1枚につき、<(ブレード)>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!SP-bp5-012#A01,PL!SP-bp5-012#A01,CANONICAL,PL!SP-bp5-012,常時,自分のライブカード置き場に必要ハートの合計が8以上の『Liella!』のライブカードがあるかぎり、<黄>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!SP-bp7-005#A01,PL!SP-bp7-005#A01,CANONICAL,PL!SP-bp7-005,BODY,このメンバーが登場するか、自分のエネルギーがエネルギー置き場からエネロキーデッキに置かれたとき、自分のエネルギーデッキから、エネルギーカードを1枚ウェイト状態で置く。そのエネルギーカードは、次のターンのアクティブフェイズにアクティブしない。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!SP-bp7-005#A02,PL!SP-bp7-005#A02,CANONICAL,PL!SP-bp7-005,BODY,自分のカードの効果によって、自分のエネルギー置き場にエネルギーが置かれたとき、ライブ終了時まで、<(ブレード)>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!SP-bp7-025#A01,PL!SP-bp7-025#A01,CANONICAL,PL!SP-bp7-025,ライブ開始時,ライブ終了時まで、自分のステージにいる「嵐千砂都」1人は<(ブレード)>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!SP-pb2-000#A01,PL!SP-pb2-000#A01,CANONICAL,PL!SP-pb2-000,常時,このカードのプレイに際し、2人のメンバーとバトンタッチしてもよい。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!SP-pb2-005#A02,PL!SP-pb2-005#A02,CANONICAL,PL!SP-pb2-005,常時,このメンバーは、このメンバーの下に置かれている『Liella!』のメンバーカードが持つ<起動>能力をすべて得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!SP-pb2-005#A03,PL!SP-pb2-005#A03,CANONICAL,PL!SP-pb2-005,登場,バトンタッチして登場した場合、このバトンタッチで控え室に置かれた『Liella!』のメンバーカードを1枚、このメンバーの下に置く。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!SP-pb2-006#A02,PL!SP-pb2-006#A02,CANONICAL,PL!SP-pb2-006,BODY,自分のライブが成功するか、このメンバーがエリアを移動したとき、自分の控室にある『Liella!』のメンバーカードを1枚、このメンバーの下に置く。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!SP-pb2-006#A01,PL!SP-pb2-006#A01,CANONICAL,PL!SP-pb2-006,常時,このメンバーの下にある『Liella!』のメンバーカード1枚につき、このメンバーのコストを+1する。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!SP-pb2-022#A01,PL!SP-pb2-022#A01,CANONICAL,PL!SP-pb2-022,BODY,自分のステージにいる『5yncri5e!』のメンバーがセンターエリアに移動したとき、ライブ終了時まで、<(ブレード)><(ブレード)><(ブレード)><(ブレード)>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!SP-pb2-035#A01,PL!SP-pb2-035#A01,CANONICAL,PL!SP-pb2-035,常時,<(ブレード)><(ブレード)>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!SP-pb2-041#A01,PL!SP-pb2-041#A01,CANONICAL,PL!SP-pb2-041,常時,<(ブレード)><(ブレード)>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!SP-pb2-046#A01,PL!SP-pb2-046#A01,CANONICAL,PL!SP-pb2-046,常時,自分のステージにいるメンバーが持つ<ライブ開始時>能力は発動しない。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!SP-pb2-046#A03,PL!SP-pb2-046#A01,POST_TRIGGER_DUPLICATE,PL!SP-pb2-046,常時,自分のステージにいるメンバーが持つ<ライブ開始時>能力は発動しない。,Merged after final trigger recanonicalization.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!SP-sd2-004#A01,PL!SP-sd2-004#A01,CANONICAL,PL!SP-sd2-004,常時,<(ブレード)><(ブレード)><(ブレード)><(ブレード)>を得る。,Canonical row retained.,cardnumber + canonical_trigger + normalized canonical_effect_text
PL!-bp4-002#A04,PL!-bp4-002#A03,DUPLICATE_OF_OTHER_AUDIT_ID,PL!-bp4-002,BODY,自分のライブ中のライブカードに、<ライブ開始時>能力も<ライブ成功時>能力も持たないカードがあるかぎり、<紫><紫>を加える。,"Same card, trigger, and normalized effect text as another audit row.",/Users/tekitou/Desktop/gsim/loveca/llocg_db_out_full/cards_compiled_v7h.json ability_index=04
PL!-bp4-014#A03,PL!-bp4-014#A02,DUPLICATE_OF_OTHER_AUDIT_ID,PL!-bp4-014,ライブ開始時,自分のライブ中のライブカードに、<ライブ開始時>能力も<ライブ成功時>能力も持たないカードがある場合、ライブ終了時まで、自分のステージにいるこのメンバー以外のメンバー1人は、<(ブレード)><(ブレード)>を得る。,"Same card, trigger, and normalized effect text as another audit row.",/Users/tekitou/Desktop/gsim/loveca/llocg_db_out_full/cards_compiled_v7h.json ability_index=03
PL!-bp6-020#A04,PL!-bp6-020#A03,DUPLICATE_OF_OTHER_AUDIT_ID,PL!-bp6-020,BODY,自分のステージのセンターエリアにいる『μ's』のメンバーの<ライブ開始時>能力が解決したとき、そのメンバーをポジションチェンジする。,"Same card, trigger, and normalized effect text as another audit row.",/Users/tekitou/Desktop/gsim/loveca/llocg_db_out_full/cards_compiled_v7h.json ability_index=04
PL!HS-pb1-028#A03,PL!HS-pb1-028#A02,DUPLICATE_OF_OTHER_AUDIT_ID,PL!HS-pb1-028,ライブ開始時,自分のステージにいるコスト10以上の『DOLLCHESTRA』のメンバー1人を選ぶ。そのメンバーの<ライブ開始時>能力1つを発動させてよい。 / （<ライブ開始時>能力がコストを持つ場合、支払って発動させる。）,"Same card, trigger, and normalized effect text as another audit row.",/Users/tekitou/Desktop/gsim/loveca/llocg_db_out_full/cards_compiled_v7h.json ability_index=03
PL!N-bp3-003#A03,PL!N-bp3-003#A02,DUPLICATE_OF_OTHER_AUDIT_ID,PL!N-bp3-003,登場,自分の控え室にあるコスト4以下の『虹ヶ咲』のメンバーカードを1枚選ぶ。そのカードの<登場>能力1つを使用する。 / （<登場>能力がコストを持つ場合、支払って発動する。）,"Same card, trigger, and normalized effect text as another audit row.",/Users/tekitou/Desktop/gsim/loveca/llocg_db_out_full/cards_compiled_v7h.json ability_index=03
PL!N-bp5-030#A03,PL!N-bp5-030#A01,DUPLICATE_OF_OTHER_AUDIT_ID,PL!N-bp5-030,BODY,自分のステージにいるメンバーの<ライブ開始時>能力が解決するたび、そのメンバーが<ALL>を持たない場合、ライブ終了時まで、そのメンバーは<ALL>を得る。,"Same card, trigger, and normalized effect text as another audit row.",/Users/tekitou/Desktop/gsim/loveca/llocg_db_out_full/cards_compiled_v7h.json ability_index=03
PL!N-bp5-030#A04,PL!N-bp5-030#A01,DUPLICATE_OF_OTHER_AUDIT_ID,PL!N-bp5-030,BODY,自分のステージにいるメンバーの<ライブ開始時>能力が解決するたび、そのメンバーが<ALL>を持たない場合、ライブ終了時まで、そのメンバーは<ALL>を得る。,"Same card, trigger, and normalized effect text as another audit row.",/Users/tekitou/Desktop/gsim/loveca/llocg_db_out_full/cards_compiled_v7h.json ability_index=04
PL!SP-bp2-006#A04,PL!SP-bp2-006#A03,DUPLICATE_OF_OTHER_AUDIT_ID,PL!SP-bp2-006,登場,バトンタッチして登場した場合、このバトンタッチで控え室に置かれた『Liella!』のメンバーカードを1枚手札に加える。,"Same card, trigger, and normalized effect text as another audit row.",/Users/tekitou/Desktop/gsim/loveca/llocg_db_out_full/cards_compiled_v7h.json ability_index=04
PL!SP-bp5-011#A01,PL!SP-bp5-011#A01,FRAGMENT_MERGED_INTO_PARENT,PL!SP-bp5-011,常時,を得る。,Effect text is a parser fragment and has no independent subject/effect body.,/Users/tekitou/Desktop/gsim/loveca/llocg_db_out_full/cards_compiled_v7h.json ability_index=01
PL!SP-bp5-011#A02,PL!SP-bp5-011#A02,FRAGMENT_MERGED_INTO_PARENT,PL!SP-bp5-011,常時,を得る。,Effect text is a parser fragment and has no independent subject/effect body.,/Users/tekitou/Desktop/gsim/loveca/llocg_db_out_full/cards_compiled_v7h.json ability_index=02
PL!SP-bp5-011#A03,PL!SP-bp5-011#A03,FRAGMENT_MERGED_INTO_PARENT,PL!SP-bp5-011,常時,を得る。,Effect text is a parser fragment and has no independent subject/effect body.,/Users/tekitou/Desktop/gsim/loveca/llocg_db_out_full/cards_compiled_v7h.json ability_index=03
PL!SP-pb2-046#A04,PL!SP-pb2-046#A03,DUPLICATE_OF_OTHER_AUDIT_ID,PL!SP-pb2-046,BODY,自分のステージにいるメンバーが持つ<ライブ開始時>能力は発動しない。,"Same card, trigger, and normalized effect text as another audit row.",/Users/tekitou/Desktop/gsim/loveca/llocg_db_out_full/cards_compiled_v7h.json ability_index=04
